lh.aparc.a2009s.area	lh_G_and_S_frontomargin_area	lh_G_and_S_occipital_inf_area	lh_G_and_S_paracentral_area	lh_G_and_S_subcentral_area	lh_G_and_S_transv_frontopol_area	lh_G_and_S_cingul-Ant_area	lh_G_and_S_cingul-Mid-Ant_area	lh_G_and_S_cingul-Mid-Post_area	lh_G_cingul-Post-dorsal_area	lh_G_cingul-Post-ventral_area	lh_G_cuneus_area	lh_G_front_inf-Opercular_area	lh_G_front_inf-Orbital_area	lh_G_front_inf-Triangul_area	lh_G_front_middle_area	lh_G_front_sup_area	lh_G_Ins_lg_and_S_cent_ins_area	lh_G_insular_short_area	lh_G_occipital_middle_area	lh_G_occipital_sup_area	lh_G_oc-temp_lat-fusifor_area	lh_G_oc-temp_med-Lingual_area	lh_G_oc-temp_med-Parahip_area	lh_G_orbital_area	lh_G_pariet_inf-Angular_area	lh_G_pariet_inf-Supramar_area	lh_G_parietal_sup_area	lh_G_postcentral_area	lh_G_precentral_area	lh_G_precuneus_area	lh_G_rectus_area	lh_G_subcallosal_area	lh_G_temp_sup-G_T_transv_area	lh_G_temp_sup-Lateral_area	lh_G_temp_sup-Plan_polar_area	lh_G_temp_sup-Plan_tempo_area	lh_G_temporal_inf_area	lh_G_temporal_middle_area	lh_Lat_Fis-ant-Horizont_area	lh_Lat_Fis-ant-Vertical_area	lh_Lat_Fis-post_area	lh_Pole_occipital_area	lh_Pole_temporal_area	lh_S_calcarine_area	lh_S_central_area	lh_S_cingul-Marginalis_area	lh_S_circular_insula_ant_area	lh_S_circular_insula_inf_area	lh_S_circular_insula_sup_area	lh_S_collat_transv_ant_area	lh_S_collat_transv_post_area	lh_S_front_inf_area	lh_S_front_middle_area	lh_S_front_sup_area	lh_S_interm_prim-Jensen_area	lh_S_intrapariet_and_P_trans_area	lh_S_oc_middle_and_Lunatus_area	lh_S_oc_sup_and_transversal_area	lh_S_occipital_ant_area	lh_S_oc-temp_lat_area	lh_S_oc-temp_med_and_Lingual_area	lh_S_orbital_lateral_area	lh_S_orbital_med-olfact_area	lh_S_orbital-H_Shaped_area	lh_S_parieto_occipital_area	lh_S_pericallosal_area	lh_S_postcentral_area	lh_S_precentral-inf-part_area	lh_S_precentral-sup-part_area	lh_S_suborbital_area	lh_S_subparietal_area	lh_S_temporal_inf_area	lh_S_temporal_sup_area	lh_S_temporal_transverse_area	lh_WhiteSurfArea_area
sub-02	866.0	1328.0	1082.0	1185.0	640.0	1452.0	811.0	885.0	479.0	234.0	1830.0	863.0	296.0	435.0	3006.0	5329.0	383.0	420.0	1617.0	1174.0	1552.0	2285.0	670.0	1806.0	1617.0	2230.0	2088.0	1472.0	2152.0	2087.0	806.0	591.0	280.0	1395.0	528.0	688.0	1829.0	1812.0	167.0	157.0	736.0	1713.0	1333.0	2101.0	2150.0	807.0	294.0	921.0	1098.0	649.0	432.0	1127.0	993.0	2034.0	173.0	2305.0	884.0	893.0	512.0	767.0	1413.0	127.0	572.0	992.0	1528.0	933.0	2217.0	1319.0	1132.0	553.0	758.0	1137.0	4050.0	276.0	89454.4
sub-03	696.0	1322.0	936.0	994.0	482.0	1567.0	774.0	826.0	341.0	189.0	1151.0	1169.0	270.0	700.0	2641.0	4890.0	386.0	429.0	1596.0	867.0	1386.0	1846.0	734.0	1714.0	2098.0	1766.0	1960.0	1487.0	1533.0	2206.0	832.0	433.0	340.0	1398.0	521.0	731.0	1539.0	1784.0	213.0	275.0	794.0	1159.0	947.0	1357.0	2009.0	775.0	338.0	849.0	1212.0	431.0	382.0	1437.0	1006.0	1808.0	161.0	2084.0	576.0	967.0	522.0	450.0	1541.0	247.0	479.0	879.0	1125.0	632.0	1735.0	1037.0	1011.0	595.0	801.0	1130.0	4371.0	279.0	82144.0
sub-04	977.0	1091.0	1100.0	1052.0	453.0	1847.0	786.0	830.0	438.0	178.0	1504.0	947.0	182.0	658.0	3372.0	5357.0	523.0	434.0	2062.0	1012.0	1381.0	2065.0	1079.0	2055.0	1794.0	1955.0	2521.0	1557.0	1677.0	1944.0	774.0	464.0	309.0	1326.0	547.0	667.0	2328.0	1743.0	173.0	202.0	719.0	1346.0	1127.0	1350.0	2111.0	868.0	347.0	784.0	1034.0	609.0	386.0	1449.0	1069.0	2127.0	176.0	1997.0	891.0	1010.0	806.0	668.0	1830.0	330.0	429.0	1064.0	1460.0	768.0	2103.0	1253.0	698.0	468.0	936.0	971.0	4253.0	340.0	89137.3
sub-05	778.0	926.0	942.0	1063.0	433.0	1535.0	760.0	882.0	416.0	160.0	1238.0	745.0	394.0	581.0	2717.0	4582.0	380.0	442.0	1499.0	983.0	1011.0	2392.0	929.0	1679.0	1988.0	1675.0	2314.0	1619.0	1625.0	1957.0	602.0	308.0	354.0	1147.0	448.0	518.0	1816.0	1477.0	143.0	176.0	654.0	1402.0	997.0	1410.0	1969.0	655.0	400.0	810.0	1034.0	563.0	353.0	971.0	1053.0	1929.0	112.0	1984.0	894.0	951.0	512.0	645.0	1232.0	282.0	390.0	832.0	1393.0	765.0	1881.0	839.0	819.0	392.0	722.0	989.0	3260.0	324.0	79057.4
sub-06	799.0	1002.0	1003.0	923.0	463.0	1763.0	1092.0	1059.0	313.0	153.0	1370.0	813.0	253.0	788.0	3137.0	4627.0	398.0	430.0	1417.0	900.0	1621.0	1816.0	952.0	1636.0	1567.0	1960.0	2119.0	1439.0	1500.0	1768.0	749.0	369.0	330.0	1099.0	449.0	624.0	1247.0	1580.0	252.0	188.0	663.0	1230.0	1073.0	1285.0	2053.0	731.0	346.0	791.0	1091.0	714.0	298.0	1554.0	1179.0	1939.0	306.0	2032.0	516.0	896.0	297.0	636.0	1522.0	243.0	451.0	1010.0	1577.0	710.0	1755.0	1009.0	907.0	502.0	738.0	1018.0	3199.0	218.0	80454.0
sub-07	1010.0	1236.0	1073.0	1339.0	569.0	1871.0	1202.0	1102.0	504.0	200.0	1457.0	1026.0	423.0	661.0	3873.0	5581.0	414.0	509.0	1333.0	1058.0	1173.0	2065.0	828.0	1918.0	2318.0	2071.0	2185.0	1754.0	1809.0	2097.0	807.0	407.0	408.0	1518.0	537.0	594.0	1914.0	2408.0	193.0	186.0	776.0	1570.0	1088.0	1603.0	2094.0	913.0	450.0	1020.0	1251.0	634.0	339.0	1420.0	1122.0	2333.0	387.0	2370.0	858.0	627.0	548.0	540.0	1523.0	338.0	453.0	1003.0	1493.0	1250.0	2182.0	1256.0	868.0	495.0	877.0	1270.0	5082.0	294.0	93958.2
sub-08	875.0	1048.0	1194.0	1100.0	639.0	1832.0	950.0	1043.0	387.0	184.0	1514.0	899.0	318.0	802.0	3131.0	6069.0	493.0	491.0	1639.0	974.0	1150.0	2281.0	869.0	1918.0	2068.0	2064.0	2046.0	1422.0	1780.0	1805.0	768.0	529.0	305.0	1522.0	594.0	897.0	1911.0	2216.0	238.0	239.0	793.0	1331.0	1214.0	1443.0	2059.0	869.0	393.0	972.0	1318.0	813.0	380.0	1762.0	1209.0	2072.0	163.0	2033.0	1026.0	960.0	556.0	740.0	1386.0	462.0	516.0	1071.0	1829.0	787.0	1828.0	1419.0	906.0	579.0	549.0	1577.0	4179.0	324.0	91722.4
sub-09	941.0	1201.0	1019.0	1150.0	634.0	1634.0	988.0	750.0	397.0	206.0	1517.0	916.0	213.0	601.0	3219.0	5721.0	441.0	440.0	1419.0	1183.0	1335.0	2027.0	704.0	1694.0	1925.0	2063.0	2440.0	1515.0	1831.0	2410.0	678.0	415.0	263.0	1354.0	600.0	504.0	2002.0	2126.0	165.0	239.0	609.0	1345.0	1335.0	1892.0	2066.0	698.0	273.0	858.0	996.0	732.0	323.0	1243.0	910.0	2303.0	107.0	2263.0	652.0	992.0	255.0	779.0	1318.0	165.0	481.0	733.0	1447.0	660.0	1917.0	1218.0	1060.0	503.0	797.0	1172.0	3973.0	271.0	87223.6
sub-10	671.0	1060.0	895.0	880.0	472.0	1326.0	659.0	752.0	306.0	158.0	1373.0	744.0	223.0	693.0	2472.0	4173.0	431.0	518.0	1337.0	904.0	1386.0	1580.0	648.0	1460.0	1648.0	1675.0	2062.0	1203.0	1585.0	1766.0	674.0	283.0	326.0	1163.0	381.0	1057.0	1477.0	1832.0	170.0	165.0	688.0	1350.0	974.0	1197.0	1731.0	551.0	305.0	775.0	926.0	472.0	342.0	1224.0	736.0	1832.0	257.0	2066.0	581.0	1039.0	290.0	617.0	1340.0	163.0	469.0	724.0	1118.0	627.0	1798.0	1106.0	722.0	458.0	779.0	927.0	3686.0	272.0	74729.0
sub-11	984.0	975.0	971.0	1037.0	503.0	1445.0	901.0	1012.0	441.0	248.0	1722.0	876.0	321.0	910.0	2778.0	5499.0	459.0	550.0	1254.0	1377.0	1182.0	2283.0	1219.0	1839.0	1804.0	2543.0	2495.0	1664.0	1670.0	2037.0	728.0	355.0	339.0	1102.0	536.0	996.0	1711.0	1336.0	185.0	156.0	928.0	1561.0	1493.0	1930.0	2263.0	686.0	428.0	793.0	1169.0	999.0	348.0	1487.0	904.0	2186.0	466.0	2085.0	764.0	950.0	547.0	568.0	1335.0	323.0	471.0	1154.0	1951.0	953.0	2352.0	1094.0	707.0	452.0	833.0	1146.0	3173.0	233.0	89175.7
sub-12	780.0	929.0	891.0	995.0	412.0	1200.0	694.0	871.0	360.0	155.0	1130.0	1000.0	290.0	598.0	2254.0	4459.0	413.0	390.0	1270.0	856.0	1397.0	1563.0	661.0	1538.0	1821.0	2164.0	1736.0	1347.0	1540.0	1563.0	580.0	351.0	276.0	1135.0	550.0	623.0	1819.0	1772.0	184.0	164.0	760.0	1016.0	943.0	1445.0	2008.0	633.0	330.0	769.0	1106.0	461.0	347.0	1255.0	757.0	1762.0	109.0	1640.0	600.0	798.0	518.0	723.0	1411.0	279.0	439.0	851.0	1424.0	697.0	1735.0	1041.0	728.0	457.0	661.0	1202.0	4021.0	228.0	75885.3
sub-13	830.0	1180.0	992.0	1034.0	554.0	1722.0	1012.0	1033.0	319.0	182.0	1550.0	795.0	291.0	870.0	3720.0	5851.0	439.0	482.0	1527.0	1074.0	1223.0	2226.0	840.0	1665.0	1764.0	2269.0	2132.0	1356.0	1395.0	1698.0	648.0	357.0	297.0	1209.0	406.0	450.0	1598.0	1731.0	212.0	74.0	628.0	1600.0	1157.0	1926.0	1877.0	786.0	293.0	912.0	1192.0	648.0	363.0	1394.0	1028.0	1983.0	340.0	2047.0	787.0	706.0	307.0	682.0	1294.0	261.0	440.0	947.0	1483.0	785.0	1821.0	935.0	699.0	539.0	621.0	1125.0	3292.0	223.0	84130.5
sub-14	1045.0	1219.0	1190.0	1285.0	627.0	1643.0	1146.0	1232.0	538.0	247.0	1735.0	1273.0	296.0	758.0	3355.0	6137.0	573.0	602.0	1623.0	1001.0	1251.0	2286.0	962.0	1824.0	2027.0	2752.0	2445.0	1695.0	2183.0	2306.0	711.0	501.0	495.0	1824.0	563.0	1078.0	1689.0	2318.0	201.0	286.0	1009.0	1793.0	1340.0	2271.0	2663.0	1001.0	468.0	1226.0	1261.0	777.0	384.0	1847.0	1151.0	2386.0	225.0	2701.0	934.0	803.0	484.0	527.0	1283.0	368.0	540.0	1149.0	1640.0	1120.0	1968.0	1101.0	1047.0	624.0	956.0	1006.0	4748.0	509.0	100229.0
sub-15	833.0	1156.0	1062.0	982.0	518.0	1441.0	842.0	725.0	327.0	151.0	1335.0	1022.0	294.0	722.0	2611.0	5274.0	353.0	440.0	1454.0	825.0	1126.0	2044.0	942.0	1660.0	2033.0	2188.0	2132.0	1513.0	1370.0	2218.0	654.0	331.0	265.0	1271.0	385.0	756.0	1782.0	1695.0	187.0	215.0	799.0	1448.0	1149.0	1218.0	1721.0	768.0	308.0	898.0	1022.0	751.0	365.0	1402.0	730.0	1780.0	383.0	2434.0	798.0	848.0	462.0	470.0	1323.0	188.0	450.0	967.0	1372.0	641.0	2345.0	1029.0	635.0	458.0	692.0	1023.0	4090.0	284.0	82384.3
sub-16	978.0	1297.0	1216.0	1463.0	747.0	1840.0	1049.0	1013.0	521.0	214.0	1419.0	952.0	307.0	676.0	3110.0	6081.0	502.0	568.0	1566.0	1063.0	1478.0	2297.0	985.0	1899.0	1631.0	2240.0	2167.0	1956.0	1762.0	2356.0	798.0	529.0	241.0	1494.0	604.0	630.0	1733.0	2200.0	145.0	228.0	623.0	1626.0	1167.0	1673.0	2255.0	988.0	535.0	991.0	1348.0	601.0	381.0	1311.0	1231.0	2566.0	387.0	1722.0	756.0	767.0	629.0	734.0	1500.0	286.0	563.0	953.0	1407.0	848.0	2434.0	1408.0	789.0	510.0	1071.0	1308.0	4053.0	201.0	93575.4
sub-17	830.0	1353.0	1199.0	1181.0	520.0	1541.0	961.0	881.0	358.0	231.0	1594.0	1173.0	502.0	938.0	3493.0	5162.0	424.0	500.0	1201.0	1077.0	1391.0	2774.0	669.0	1726.0	1490.0	2417.0	1971.0	1734.0	1649.0	1694.0	766.0	284.0	327.0	1613.0	618.0	926.0	1485.0	1770.0	217.0	176.0	833.0	1610.0	1123.0	1912.0	2069.0	717.0	471.0	881.0	1121.0	529.0	377.0	1601.0	939.0	1911.0	300.0	1799.0	718.0	695.0	466.0	584.0	1589.0	224.0	439.0	783.0	1484.0	835.0	2101.0	1128.0	741.0	593.0	554.0	835.0	3921.0	323.0	87022.8
sub-18	893.0	1029.0	1040.0	1192.0	583.0	1826.0	990.0	894.0	379.0	159.0	1334.0	1053.0	382.0	968.0	3024.0	5422.0	526.0	522.0	1617.0	878.0	1174.0	1850.0	711.0	1763.0	1516.0	2301.0	1682.0	1492.0	1634.0	1505.0	706.0	555.0	443.0	1613.0	563.0	745.0	1597.0	1921.0	196.0	145.0	871.0	1755.0	1207.0	1509.0	1973.0	814.0	401.0	909.0	1166.0	684.0	372.0	1447.0	1055.0	1953.0	391.0	1930.0	864.0	733.0	393.0	664.0	1377.0	304.0	480.0	858.0	1413.0	752.0	2128.0	901.0	923.0	540.0	647.0	1115.0	3803.0	381.0	85539.5
sub-19	898.0	1273.0	979.0	843.0	520.0	1678.0	936.0	849.0	441.0	228.0	1584.0	891.0	488.0	1137.0	2447.0	5163.0	456.0	546.0	1474.0	1128.0	1364.0	2050.0	706.0	1824.0	1651.0	1897.0	1949.0	1379.0	1621.0	1995.0	796.0	459.0	298.0	1225.0	398.0	579.0	1778.0	1935.0	163.0	247.0	674.0	1502.0	1221.0	1456.0	2086.0	610.0	439.0	861.0	1064.0	574.0	338.0	1669.0	1011.0	1968.0	164.0	2087.0	825.0	1010.0	418.0	624.0	1664.0	222.0	525.0	1103.0	1564.0	681.0	2067.0	1146.0	887.0	330.0	680.0	1010.0	4201.0	270.0	85221.1
sub-20	850.0	997.0	989.0	936.0	542.0	1385.0	874.0	869.0	410.0	228.0	1292.0	1070.0	302.0	840.0	3122.0	5315.0	381.0	436.0	1400.0	826.0	1022.0	1930.0	849.0	1737.0	1238.0	1762.0	1922.0	1586.0	1605.0	1651.0	743.0	415.0	236.0	1234.0	460.0	540.0	1573.0	1914.0	234.0	184.0	593.0	1366.0	1278.0	1870.0	2180.0	752.0	374.0	811.0	1054.0	597.0	362.0	1604.0	729.0	1951.0	118.0	1861.0	716.0	683.0	623.0	388.0	1257.0	215.0	384.0	929.0	1237.0	755.0	1781.0	1004.0	1131.0	495.0	703.0	1155.0	3366.0	255.0	80478.8
sub-21	923.0	983.0	1022.0	995.0	543.0	1640.0	954.0	1010.0	494.0	185.0	1625.0	939.0	310.0	742.0	3077.0	4492.0	431.0	518.0	1463.0	1095.0	1121.0	2393.0	819.0	1592.0	1932.0	2029.0	1811.0	1322.0	1291.0	1902.0	784.0	402.0	336.0	1388.0	463.0	667.0	1652.0	1757.0	221.0	258.0	705.0	1342.0	1280.0	1896.0	1722.0	685.0	261.0	1075.0	1002.0	618.0	384.0	1919.0	811.0	2258.0	301.0	2187.0	832.0	1126.0	514.0	780.0	1391.0	298.0	550.0	966.0	1366.0	1167.0	2192.0	953.0	787.0	477.0	825.0	1222.0	4354.0	334.0	86165.4
sub-22	941.0	1404.0	931.0	1141.0	703.0	1615.0	871.0	1015.0	338.0	172.0	1361.0	965.0	279.0	753.0	3184.0	5073.0	381.0	500.0	1980.0	1126.0	1329.0	2022.0	946.0	1756.0	1981.0	2233.0	2568.0	1505.0	1580.0	1702.0	712.0	437.0	376.0	1334.0	427.0	603.0	1925.0	1613.0	182.0	219.0	625.0	1436.0	1214.0	1733.0	1785.0	656.0	280.0	868.0	1124.0	845.0	386.0	1453.0	709.0	2032.0	201.0	1888.0	1037.0	863.0	592.0	309.0	1145.0	214.0	559.0	990.0	1339.0	856.0	1770.0	941.0	729.0	421.0	671.0	1087.0	3612.0	305.0	84854.1
sub-23	1335.0	1265.0	1064.0	1064.0	797.0	1662.0	962.0	977.0	348.0	237.0	1914.0	910.0	338.0	1040.0	4118.0	5560.0	409.0	531.0	1585.0	921.0	1146.0	2529.0	792.0	1890.0	1671.0	2157.0	1653.0	1487.0	2289.0	1314.0	779.0	328.0	460.0	1403.0	516.0	754.0	1829.0	1677.0	225.0	239.0	840.0	1891.0	1191.0	2057.0	2128.0	788.0	263.0	945.0	1052.0	544.0	594.0	1793.0	1264.0	2498.0	301.0	1784.0	888.0	574.0	294.0	640.0	1693.0	281.0	376.0	1118.0	1273.0	912.0	1773.0	1156.0	1315.0	573.0	589.0	1062.0	3639.0	305.0	90565.1
sub-24	771.0	1295.0	1036.0	1120.0	672.0	1515.0	915.0	940.0	405.0	232.0	1730.0	1014.0	323.0	888.0	2730.0	5360.0	501.0	497.0	1816.0	1073.0	1350.0	2111.0	761.0	1870.0	1747.0	2711.0	2186.0	1790.0	1785.0	1808.0	706.0	425.0	550.0	1634.0	656.0	728.0	1503.0	1843.0	176.0	273.0	905.0	1524.0	1226.0	1527.0	2298.0	718.0	426.0	1034.0	1180.0	576.0	357.0	2344.0	867.0	1729.0	141.0	2304.0	954.0	865.0	542.0	582.0	1781.0	376.0	406.0	1006.0	1875.0	801.0	2306.0	1615.0	914.0	434.0	791.0	998.0	4310.0	396.0	91552.0
sub-25	604.0	963.0	802.0	1210.0	594.0	1560.0	833.0	840.0	337.0	152.0	1022.0	1080.0	394.0	786.0	3185.0	5028.0	383.0	436.0	1290.0	794.0	1169.0	1370.0	784.0	1740.0	1582.0	1980.0	1988.0	1209.0	1421.0	2120.0	586.0	446.0	456.0	1282.0	423.0	546.0	1765.0	1638.0	267.0	131.0	706.0	1007.0	939.0	1148.0	1816.0	727.0	391.0	888.0	1098.0	614.0	355.0	1289.0	916.0	2065.0	176.0	2064.0	404.0	847.0	377.0	626.0	1327.0	233.0	411.0	837.0	1376.0	936.0	1828.0	962.0	799.0	439.0	641.0	1107.0	3508.0	339.0	78394.6
sub-26	734.0	1450.0	1061.0	880.0	465.0	1334.0	778.0	891.0	323.0	139.0	1414.0	873.0	353.0	770.0	2884.0	4527.0	378.0	458.0	1686.0	877.0	1032.0	2158.0	842.0	1702.0	2039.0	1813.0	1912.0	1271.0	1483.0	1640.0	695.0	416.0	214.0	1227.0	389.0	465.0	1598.0	1897.0	216.0	217.0	594.0	1369.0	1046.0	1604.0	1904.0	858.0	361.0	835.0	887.0	664.0	342.0	1423.0	739.0	2331.0	145.0	2003.0	697.0	843.0	717.0	357.0	1122.0	160.0	425.0	812.0	1141.0	817.0	1242.0	971.0	804.0	377.0	607.0	1180.0	3443.0	144.0	78466.5
sub-27	1160.0	1087.0	1406.0	1162.0	565.0	1662.0	1004.0	974.0	356.0	202.0	1374.0	881.0	296.0	951.0	3899.0	6201.0	499.0	505.0	1626.0	908.0	1352.0	2643.0	1126.0	1831.0	1433.0	1923.0	2229.0	1654.0	1715.0	1918.0	725.0	387.0	487.0	1427.0	555.0	732.0	1758.0	1786.0	172.0	263.0	783.0	1706.0	1160.0	1465.0	2141.0	886.0	305.0	1061.0	1348.0	781.0	477.0	1971.0	1204.0	2689.0	182.0	2138.0	929.0	842.0	551.0	785.0	1639.0	346.0	525.0	1133.0	1824.0	904.0	2014.0	1282.0	1059.0	673.0	620.0	1075.0	4138.0	430.0	93897.3
sub-28	842.0	1155.0	921.0	1059.0	523.0	1833.0	1324.0	1083.0	469.0	225.0	1630.0	826.0	238.0	779.0	3695.0	4894.0	398.0	409.0	1994.0	909.0	1344.0	2545.0	867.0	1600.0	1429.0	1909.0	2067.0	1630.0	1882.0	1721.0	747.0	339.0	313.0	1526.0	672.0	801.0	2244.0	2240.0	206.0	166.0	604.0	1525.0	1204.0	1935.0	2434.0	713.0	293.0	926.0	1056.0	781.0	405.0	1477.0	1245.0	1981.0	169.0	2396.0	1069.0	823.0	538.0	684.0	1394.0	273.0	366.0	954.0	1388.0	980.0	2080.0	1210.0	1098.0	501.0	698.0	1325.0	4106.0	219.0	90301.3
sub-29	976.0	1241.0	1111.0	1071.0	607.0	2029.0	1122.0	949.0	422.0	209.0	1519.0	822.0	349.0	752.0	3790.0	5441.0	511.0	547.0	1606.0	1052.0	1232.0	1979.0	791.0	1895.0	1763.0	1776.0	2179.0	1457.0	1790.0	2059.0	719.0	497.0	342.0	1206.0	507.0	422.0	1735.0	2075.0	236.0	224.0	652.0	1534.0	1183.0	1455.0	2115.0	816.0	426.0	845.0	1182.0	631.0	387.0	1888.0	954.0	2162.0	225.0	2407.0	557.0	956.0	625.0	639.0	1620.0	201.0	485.0	1117.0	1258.0	1031.0	1506.0	1578.0	725.0	479.0	843.0	1387.0	4265.0	257.0	89403.8
sub-30	732.0	1217.0	865.0	997.0	480.0	1476.0	731.0	849.0	315.0	229.0	1609.0	836.0	271.0	759.0	2558.0	4804.0	481.0	517.0	1500.0	888.0	1390.0	2402.0	850.0	1581.0	1599.0	1601.0	1849.0	1442.0	1592.0	1274.0	684.0	538.0	453.0	1587.0	600.0	751.0	1495.0	1670.0	221.0	171.0	762.0	1435.0	1166.0	1776.0	2278.0	611.0	306.0	1055.0	1063.0	624.0	223.0	1332.0	780.0	1770.0	147.0	1582.0	1112.0	770.0	546.0	694.0	1509.0	211.0	418.0	805.0	1462.0	862.0	1592.0	1056.0	918.0	453.0	529.0	1076.0	3811.0	340.0	80939.7
sub-31	785.0	1334.0	1104.0	1153.0	427.0	1369.0	908.0	897.0	390.0	146.0	1479.0	1050.0	250.0	573.0	3290.0	4986.0	395.0	461.0	1445.0	1002.0	1492.0	1701.0	898.0	1661.0	1440.0	1940.0	1879.0	1359.0	1718.0	1599.0	627.0	360.0	476.0	1431.0	363.0	653.0	1718.0	2064.0	218.0	160.0	771.0	1259.0	1021.0	1625.0	2049.0	693.0	318.0	947.0	982.0	647.0	283.0	1564.0	1030.0	1975.0	219.0	2338.0	646.0	684.0	516.0	616.0	1549.0	288.0	445.0	843.0	1241.0	761.0	1765.0	1307.0	851.0	481.0	576.0	765.0	3823.0	344.0	82423.8
