Measure:volume	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter	MaskVol	EstimatedTotalIntraCranialVol
sub-02	3551.6	2812.8	6949.7	3491.2	1020.7	7107.8	10179.9	7427.5	3977.2	12864.5	6852.9	7016.1	5016.5	5632.1	1252.9	4309.8	3429.5	1132.2	2332.2	3977.4	7091.3	5417.1	16318.8	10554.4	2331.4	12034.2	18995.0	13598.0	8256.6	10068.4	329.6	816.2	675.3	9718.0	2712.7	2468.5	6117.0	3553.9	784.1	6556.2	13563.7	6638.8	3767.8	12766.4	6962.6	7251.1	4129.8	6677.4	1588.4	5610.8	3174.0	1322.5	3071.0	4005.7	8819.8	4470.4	15880.4	10666.9	2355.6	13196.7	18179.5	13346.7	6720.7	7983.8	404.2	746.1	630.6	9976.8	41634.5	41376.8	1555419.0	1428626.41687
sub-03	2824.7	2637.4	6730.9	2085.7	516.9	6405.5	10163.5	5889.7	3527.4	9628.5	6673.0	5236.8	4098.7	4568.9	1483.4	3855.0	4160.7	1013.0	3124.7	2835.9	7188.5	3839.1	12116.4	9122.0	2752.1	10408.8	16222.2	12055.4	7338.5	8540.3	296.4	545.4	735.9	8759.9	3083.7	2286.7	5224.5	2995.0	666.8	5209.7	10978.5	5108.9	3307.8	8583.2	6648.5	6040.8	4460.5	5549.2	1382.2	3965.1	3721.7	1287.8	3615.6	3697.2	7480.2	4045.9	12317.7	9138.3	1714.8	11074.2	15488.9	9755.4	6322.5	8753.6	417.1	657.5	680.0	7956.5	26468.4	25936.2	1331627.0	1101563.30193
sub-04	2338.2	2685.3	6296.1	2988.6	1085.6	8300.8	11393.4	7109.0	3942.6	11224.9	7524.5	5983.7	4357.1	6497.3	1821.0	4232.3	3601.5	1022.0	2756.8	2878.2	8495.6	4044.6	13320.6	10705.2	2811.4	13845.7	19028.8	14206.8	7543.3	8526.0	265.8	745.9	682.9	8804.6	2006.5	2768.8	5961.6	3007.9	1070.8	7313.5	12667.5	6503.5	3290.1	10862.6	7736.3	5210.0	4202.6	6820.2	1575.0	3998.9	3446.7	1336.2	3632.1	2771.8	7452.8	4574.6	14151.0	11777.6	2080.1	14193.1	19065.9	14376.1	7260.7	9688.5	367.2	685.5	433.8	8266.4	37504.6	36188.3	1415579.0	1245689.09948
sub-05	1481.4	2159.3	4813.1	2783.0	1171.9	5591.5	10022.7	5474.3	3303.8	9963.1	6406.4	5807.5	2847.0	5000.8	1421.4	3608.9	2461.8	980.5	2757.1	2928.0	7094.1	4218.0	12130.3	9085.0	2327.3	10403.8	15601.0	12678.0	6973.5	6850.6	172.2	571.6	725.3	8806.9	2572.6	2307.5	5951.3	2760.8	871.0	6063.2	11775.7	4752.5	3194.6	9830.1	6490.7	5476.7	3957.7	5060.8	1453.0	4547.6	2229.6	1258.5	3059.2	2891.7	6923.0	4114.3	12113.0	8724.2	1750.4	11012.1	14466.1	11139.2	5701.0	7342.6	362.2	530.3	615.6	8398.1	28516.3	27609.7	1283835.0	996438.698725
sub-06	2873.7	3325.0	6523.2	2270.3	806.4	7023.5	7829.7	5081.0	2957.5	7916.2	6270.3	4939.6	3474.4	4125.3	1722.7	3921.6	2478.3	1068.5	3105.3	2007.4	6764.7	4000.3	11725.3	8629.8	2591.9	12931.7	15323.2	11347.0	6370.3	7819.8	296.8	700.8	548.7	8109.5	2288.5	2686.1	5908.2	2584.5	830.3	7020.2	10192.3	4600.0	2693.5	8334.8	6094.0	4957.0	3898.6	5438.1	1762.9	4812.2	2612.2	1328.8	2639.1	2518.3	6387.7	4561.0	11125.1	8023.1	1784.3	13588.4	16309.9	10831.7	4727.0	5797.6	333.4	802.4	514.0	7851.9	20182.4	20076.1	1343166.0	1019872.382
sub-07	4001.9	3572.7	7472.8	2870.3	730.5	6955.4	12244.9	7171.7	4034.3	11057.0	7377.2	5672.6	4613.3	7224.7	1850.1	4677.9	3568.8	1312.1	3195.4	3034.0	8533.7	5645.9	14429.5	11127.3	2653.8	14525.6	20818.6	13326.5	7820.1	10612.1	370.4	726.4	963.4	10482.8	3224.2	3098.8	7833.3	2748.3	927.5	7686.5	15187.8	6587.8	3815.0	12202.0	7587.7	5143.8	5141.9	7227.8	1904.9	5980.2	3643.6	1464.7	3647.3	2473.1	8315.2	5449.0	14767.1	10364.2	2489.9	14403.5	21697.0	13236.9	7358.9	10515.8	481.8	806.3	566.6	10094.3	38870.8	38573.3	1518730.0	1413416.99172
sub-08	2840.9	2945.4	7484.3	3332.9	863.6	6432.8	11139.6	7941.5	3483.3	11156.0	7153.4	5736.6	4159.5	6236.3	1536.8	4561.2	3227.6	1275.3	3292.1	2822.8	7676.1	5023.9	14335.4	9364.9	2656.6	13079.4	21896.6	13293.2	8917.8	8844.3	382.1	585.5	993.4	10820.2	3137.2	3043.1	6571.3	3179.0	949.1	6133.6	12064.2	7008.0	3163.2	9980.1	6783.9	5754.1	4446.1	7021.3	1762.2	5492.9	2644.8	1264.7	3526.3	2891.8	7592.1	5138.9	15365.1	12755.1	2489.4	13155.0	21003.8	12334.0	7317.4	9761.0	448.9	795.5	880.8	10705.2	34100.8	33686.8	1551812.0	1409569.74442
sub-09	3138.1	2108.6	7732.4	2756.7	1071.6	5845.3	9895.0	7495.9	3577.4	8616.0	5873.4	4757.5	3651.1	5681.4	1617.2	3726.6	2914.3	716.8	2360.8	3730.2	6954.4	3745.0	12784.7	10413.6	2571.6	10282.8	19252.4	14472.4	6781.9	7562.7	341.5	715.7	775.6	8120.4	3139.4	3978.9	4773.3	2583.1	881.9	6121.6	9861.9	6678.2	3273.5	8241.7	5793.0	5933.1	3567.8	5928.2	1640.9	4692.2	3282.2	1039.4	2755.2	3577.4	7209.1	3928.5	11028.0	10084.2	1599.9	12292.4	17122.9	13118.2	6045.4	8686.3	398.2	691.6	524.4	9346.1	23419.2	24743.1	1431049.0	1191156.14422
sub-10	1990.0	2498.1	5452.7	2422.0	659.6	5768.4	8547.8	4872.5	3549.6	8490.9	5360.3	4774.8	2987.8	4764.8	1331.2	2967.3	2621.5	789.8	2311.3	2274.1	5886.6	3547.4	11714.3	8244.7	2119.4	9602.7	14388.0	12137.9	7862.9	7590.2	237.9	554.8	689.0	7871.6	2138.8	2529.7	5172.9	2885.9	605.1	5406.1	10708.6	4201.3	2898.8	7656.7	6214.7	4479.1	3552.6	4788.3	1570.0	3737.4	3038.5	1146.1	2547.1	2595.8	6172.5	3989.3	11009.9	8140.6	1527.1	9344.9	14237.5	11328.9	5733.9	7127.2	284.1	591.1	559.4	7775.0	26875.9	26738.7	1215290.0	1224529.43527
sub-11	1978.5	2705.3	5966.8	3892.6	1328.4	7262.6	8428.3	7139.0	4433.1	11678.1	7437.3	6496.7	4121.0	4320.6	1878.7	3929.8	3175.3	1340.6	3399.1	3826.5	9046.1	4841.8	13864.0	10297.5	2323.0	11392.7	19685.6	15455.0	8141.6	12301.5	325.4	836.7	684.9	9820.1	2156.5	2604.1	6273.4	2824.6	1151.6	7095.1	13019.4	7188.4	3264.3	12192.3	7693.0	5191.1	3908.7	6421.0	1760.0	4434.2	2508.3	1403.7	3515.5	3724.9	8419.5	4975.7	12458.8	11159.1	1929.2	12437.6	20753.0	13519.9	5924.2	9063.3	447.8	807.1	512.8	9672.6	34584.9	35772.3	1591531.0	1383479.59714
