rh.aparc.a2009s.volume	rh_G_and_S_frontomargin_volume	rh_G_and_S_occipital_inf_volume	rh_G_and_S_paracentral_volume	rh_G_and_S_subcentral_volume	rh_G_and_S_transv_frontopol_volume	rh_G_and_S_cingul-Ant_volume	rh_G_and_S_cingul-Mid-Ant_volume	rh_G_and_S_cingul-Mid-Post_volume	rh_G_cingul-Post-dorsal_volume	rh_G_cingul-Post-ventral_volume	rh_G_cuneus_volume	rh_G_front_inf-Opercular_volume	rh_G_front_inf-Orbital_volume	rh_G_front_inf-Triangul_volume	rh_G_front_middle_volume	rh_G_front_sup_volume	rh_G_Ins_lg_and_S_cent_ins_volume	rh_G_insular_short_volume	rh_G_occipital_middle_volume	rh_G_occipital_sup_volume	rh_G_oc-temp_lat-fusifor_volume	rh_G_oc-temp_med-Lingual_volume	rh_G_oc-temp_med-Parahip_volume	rh_G_orbital_volume	rh_G_pariet_inf-Angular_volume	rh_G_pariet_inf-Supramar_volume	rh_G_parietal_sup_volume	rh_G_postcentral_volume	rh_G_precentral_volume	rh_G_precuneus_volume	rh_G_rectus_volume	rh_G_subcallosal_volume	rh_G_temp_sup-G_T_transv_volume	rh_G_temp_sup-Lateral_volume	rh_G_temp_sup-Plan_polar_volume	rh_G_temp_sup-Plan_tempo_volume	rh_G_temporal_inf_volume	rh_G_temporal_middle_volume	rh_Lat_Fis-ant-Horizont_volume	rh_Lat_Fis-ant-Vertical_volume	rh_Lat_Fis-post_volume	rh_Pole_occipital_volume	rh_Pole_temporal_volume	rh_S_calcarine_volume	rh_S_central_volume	rh_S_cingul-Marginalis_volume	rh_S_circular_insula_ant_volume	rh_S_circular_insula_inf_volume	rh_S_circular_insula_sup_volume	rh_S_collat_transv_ant_volume	rh_S_collat_transv_post_volume	rh_S_front_inf_volume	rh_S_front_middle_volume	rh_S_front_sup_volume	rh_S_interm_prim-Jensen_volume	rh_S_intrapariet_and_P_trans_volume	rh_S_oc_middle_and_Lunatus_volume	rh_S_oc_sup_and_transversal_volume	rh_S_occipital_ant_volume	rh_S_oc-temp_lat_volume	rh_S_oc-temp_med_and_Lingual_volume	rh_S_orbital_lateral_volume	rh_S_orbital_med-olfact_volume	rh_S_orbital-H_Shaped_volume	rh_S_parieto_occipital_volume	rh_S_pericallosal_volume	rh_S_postcentral_volume	rh_S_precentral-inf-part_volume	rh_S_precentral-sup-part_volume	rh_S_suborbital_volume	rh_S_subparietal_volume	rh_S_temporal_inf_volume	rh_S_temporal_sup_volume	rh_S_temporal_transverse_volume
sub-02	1619.0	3407.0	2543.0	3140.0	2914.0	6699.0	2529.0	2595.0	1666.0	988.0	4173.0	3631.0	1220.0	1579.0	9366.0	16682.0	1771.0	2423.0	6834.0	3320.0	4872.0	5828.0	3475.0	6953.0	7165.0	5337.0	5523.0	4194.0	7285.0	6446.0	2327.0	1590.0	669.0	5642.0	2014.0	1267.0	7478.0	8405.0	295.0	295.0	1613.0	5814.0	6543.0	3142.0	3629.0	1852.0	1045.0	1662.0	2208.0	1291.0	623.0	3085.0	3287.0	5239.0	358.0	4548.0	1353.0	2216.0	1180.0	1500.0	3685.0	613.0	1354.0	2574.0	3650.0	1419.0	3757.0	2898.0	2409.0	664.0	2042.0	1961.0	9414.0	450.0
sub-03	1293.0	1978.0	2537.0	3165.0	2293.0	5996.0	2584.0	2802.0	1567.0	764.0	3066.0	3727.0	1172.0	2776.0	8013.0	14192.0	1600.0	2215.0	3823.0	2372.0	4031.0	4948.0	2874.0	6549.0	8405.0	5356.0	4391.0	3804.0	6294.0	5727.0	2156.0	1060.0	882.0	5374.0	2275.0	1809.0	5106.0	7762.0	428.0	432.0	1766.0	4074.0	4669.0	3126.0	3449.0	1687.0	947.0	1745.0	1968.0	1210.0	482.0	3181.0	3280.0	3838.0	806.0	4083.0	901.0	1342.0	761.0	1459.0	2307.0	653.0	1102.0	2284.0	2797.0	1040.0	2992.0	2965.0	2042.0	520.0	2048.0	1987.0	8463.0	390.0
sub-04	1269.0	2608.0	2147.0	3009.0	2498.0	6549.0	2992.0	3029.0	1561.0	610.0	3209.0	3842.0	1210.0	1971.0	9206.0	16069.0	1302.0	1557.0	6281.0	2996.0	4513.0	4317.0	3922.0	7476.0	7076.0	5883.0	5438.0	3806.0	6761.0	6015.0	2157.0	759.0	1118.0	5435.0	1764.0	1534.0	7382.0	8361.0	449.0	420.0	2119.0	4597.0	5144.0	2493.0	3323.0	2034.0	852.0	1791.0	1988.0	2033.0	821.0	3041.0	3176.0	4515.0	573.0	4994.0	1115.0	2303.0	1556.0	1290.0	3067.0	434.0	999.0	2514.0	3704.0	1310.0	4012.0	2155.0	1938.0	709.0	2421.0	1986.0	9515.0	519.0
sub-05	1348.0	2911.0	2396.0	2779.0	2478.0	5552.0	2630.0	3045.0	1470.0	746.0	2781.0	3041.0	1000.0	1793.0	8063.0	14222.0	1304.0	1807.0	5504.0	2318.0	4156.0	4475.0	2829.0	6378.0	6665.0	5854.0	4882.0	3967.0	5867.0	6285.0	2147.0	784.0	787.0	4877.0	1834.0	1526.0	5542.0	7103.0	581.0	299.0	1930.0	4621.0	4915.0	2206.0	3319.0	1912.0	1078.0	1735.0	2092.0	1544.0	486.0	2142.0	3333.0	4694.0	519.0	4282.0	1484.0	1550.0	958.0	742.0	2657.0	604.0	1145.0	2123.0	2829.0	1074.0	3155.0	2293.0	1926.0	506.0	1630.0	1471.0	9110.0	493.0
sub-06	2237.0	2558.0	2760.0	2788.0	2678.0	6297.0	3270.0	3027.0	1140.0	759.0	3120.0	3310.0	1032.0	1663.0	10634.0	17891.0	1396.0	2044.0	5221.0	3020.0	4318.0	4006.0	4356.0	7855.0	6018.0	4884.0	5981.0	3892.0	6243.0	5150.0	1885.0	834.0	751.0	5264.0	1576.0	1234.0	6485.0	7308.0	407.0	490.0	1641.0	4431.0	5258.0	2567.0	3167.0	1783.0	917.0	1659.0	2046.0	1806.0	865.0	2876.0	3799.0	4576.0	406.0	4763.0	943.0	1736.0	975.0	1107.0	3302.0	547.0	973.0	2657.0	3629.0	1850.0	2702.0	2528.0	1541.0	212.0	1742.0	1951.0	8060.0	396.0
sub-07	2355.0	2778.0	2430.0	3361.0	2275.0	6763.0	3135.0	3693.0	2172.0	727.0	2958.0	3582.0	1197.0	1997.0	10820.0	18781.0	1631.0	2070.0	6189.0	2569.0	4302.0	4642.0	3810.0	7862.0	6763.0	7772.0	5862.0	3652.0	6068.0	6363.0	2408.0	1289.0	920.0	5514.0	2227.0	1742.0	6581.0	9844.0	517.0	450.0	2390.0	4516.0	5677.0	2357.0	3202.0	2463.0	1068.0	1979.0	2628.0	1679.0	797.0	4246.0	3595.0	4357.0	914.0	6069.0	1587.0	1758.0	1372.0	992.0	3637.0	506.0	1233.0	2777.0	2876.0	1763.0	4098.0	3103.0	2210.0	666.0	2738.0	1983.0	10789.0	484.0
sub-08	2149.0	2901.0	2827.0	3771.0	2671.0	7883.0	3547.0	3511.0	1511.0	669.0	3199.0	3104.0	1312.0	2804.0	9707.0	20426.0	1756.0	2570.0	4185.0	2647.0	4425.0	4857.0	4037.0	8087.0	8374.0	6408.0	4790.0	3377.0	7174.0	6547.0	2464.0	1067.0	1171.0	5831.0	1758.0	2171.0	6267.0	11424.0	407.0	457.0	2092.0	5590.0	5647.0	2704.0	3046.0	2180.0	1037.0	2003.0	2627.0	1773.0	715.0	2947.0	4216.0	5004.0	910.0	4939.0	802.0	1700.0	1214.0	1054.0	2959.0	564.0	1342.0	2577.0	3308.0	1376.0	2396.0	2753.0	2576.0	604.0	2548.0	2599.0	10840.0	746.0
sub-09	1907.0	1712.0	2405.0	2645.0	2951.0	5882.0	3862.0	3125.0	1588.0	715.0	3057.0	3134.0	923.0	1861.0	8679.0	16470.0	1585.0	2395.0	3508.0	2977.0	4469.0	4861.0	4033.0	6730.0	6300.0	6018.0	5867.0	3373.0	5393.0	5612.0	2340.0	867.0	777.0	4779.0	1698.0	1497.0	6213.0	9229.0	677.0	240.0	2109.0	4261.0	7064.0	2785.0	2995.0	1766.0	846.0	1798.0	1921.0	2186.0	447.0	2934.0	3371.0	4841.0	571.0	4438.0	933.0	1801.0	604.0	1464.0	2527.0	821.0	1097.0	2032.0	2779.0	2019.0	3910.0	2682.0	1880.0	689.0	2306.0	2281.0	8453.0	531.0
sub-10	1400.0	2225.0	1868.0	2681.0	2796.0	5460.0	2678.0	2301.0	1220.0	676.0	2827.0	3374.0	963.0	1752.0	6918.0	12568.0	1659.0	2347.0	3450.0	2751.0	3804.0	3439.0	3047.0	6340.0	6805.0	4488.0	4080.0	2608.0	4953.0	4678.0	1984.0	1022.0	854.0	4296.0	1605.0	1356.0	4664.0	7052.0	314.0	189.0	1799.0	4087.0	5801.0	1793.0	2352.0	1358.0	890.0	1405.0	1667.0	1282.0	746.0	2430.0	3102.0	2870.0	757.0	4807.0	780.0	1472.0	946.0	1141.0	2728.0	621.0	1290.0	1851.0	3176.0	1163.0	3086.0	2316.0	1430.0	548.0	1906.0	1332.0	7754.0	390.0
sub-11	2731.0	2822.0	2661.0	3117.0	2752.0	6784.0	2980.0	2875.0	1221.0	741.0	2902.0	3053.0	1449.0	2051.0	10168.0	18987.0	1658.0	2534.0	5621.0	2818.0	4074.0	3686.0	4958.0	7272.0	6987.0	6367.0	5719.0	3699.0	5779.0	6458.0	2124.0	718.0	1125.0	4875.0	1903.0	1230.0	7799.0	7797.0	847.0	91.0	1730.0	5040.0	6142.0	2332.0	3398.0	1771.0	973.0	2258.0	1965.0	1967.0	564.0	2581.0	3260.0	4840.0	601.0	5931.0	1663.0	1744.0	1356.0	1728.0	2915.0	716.0	1196.0	2762.0	3076.0	1295.0	3352.0	2035.0	1882.0	566.0	2548.0	2101.0	7300.0	302.0
