lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume
sub-02	2769.0	2057.0	7048.0	4032.0	2015.0	11524.0	12796.0	11305.0	3002.0	13886.0	8284.0	7986.0	6664.0	11208.0	1893.0	3304.0	4301.0	2306.0	2787.0	2227.0	9884.0	3939.0	16325.0	11570.0	2714.0	13813.0	23595.0	13204.0	13001.0	12563.0	1283.0	2981.0	1339.0	7211.0
sub-03	3388.0	1399.0	6989.0	2426.0	1355.0	9035.0	12857.0	8079.0	2363.0	11411.0	7838.0	6002.0	5590.0	9693.0	1707.0	3381.0	5901.0	2296.0	3615.0	1729.0	9809.0	3006.0	13549.0	10237.0	2323.0	11784.0	21778.0	12371.0	10757.0	10717.0	1045.0	2059.0	1365.0	6980.0
sub-04	2956.0	1933.0	5748.0	2838.0	2150.0	11457.0	14323.0	12326.0	2617.0	12788.0	8460.0	6509.0	5949.0	9359.0	2420.0	4100.0	4672.0	2343.0	3343.0	1317.0	10599.0	3313.0	13588.0	10682.0	3176.0	15115.0	21500.0	14414.0	11219.0	11175.0	1014.0	2292.0	1556.0	6836.0
sub-05	1548.0	1522.0	4666.0	2870.0	1772.0	8326.0	12708.0	10350.0	2356.0	11860.0	6977.0	7306.0	4465.0	8236.0	1974.0	3265.0	3904.0	2592.0	3060.0	1669.0	9234.0	3061.0	12688.0	10542.0	2533.0	12972.0	20312.0	13232.0	11260.0	9289.0	739.0	1983.0	1534.0	6794.0
sub-06	2240.0	1980.0	5979.0	2589.0	1913.0	11982.0	10507.0	8964.0	2867.0	10648.0	7962.0	5297.0	5332.0	8671.0	2508.0	3746.0	3803.0	2684.0	3732.0	1496.0	9772.0	2992.0	13233.0	9980.0	3127.0	16997.0	23010.0	13503.0	10942.0	11398.0	831.0	2696.0	1216.0	6245.0
sub-07	3076.0	2926.0	6473.0	3239.0	1523.0	8635.0	14490.0	10939.0	3464.0	12448.0	8276.0	6999.0	6767.0	13391.0	2307.0	3932.0	4891.0	2421.0	3365.0	2126.0	10545.0	4153.0	14302.0	11779.0	3685.0	16302.0	22871.0	13568.0	12510.0	13645.0	957.0	2322.0	1619.0	7649.0
sub-08	2265.0	1645.0	7438.0	3042.0	1958.0	9338.0	13767.0	13287.0	2353.0	12585.0	8572.0	6849.0	6215.0	13265.0	2199.0	4853.0	4586.0	3120.0	4130.0	1414.0	9055.0	3544.0	14870.0	9712.0	3103.0	16916.0	28484.0	12937.0	14226.0	11217.0	1152.0	2405.0	1360.0	7932.0
sub-09	2360.0	1125.0	7577.0	2662.0	1856.0	9882.0	12321.0	11979.0	2808.0	11342.0	7784.0	5617.0	6475.0	11715.0	1909.0	3336.0	4424.0	2096.0	2638.0	1841.0	9237.0	2674.0	13593.0	10622.0	2303.0	13535.0	25248.0	14052.0	11428.0	10216.0	1104.0	2903.0	1072.0	6570.0
sub-10	1810.0	1126.0	5588.0	2613.0	1955.0	8014.0	10846.0	7678.0	2587.0	9374.0	7054.0	4909.0	4892.0	9775.0	1676.0	2677.0	3432.0	1600.0	3113.0	1222.0	7323.0	2388.0	11002.0	8648.0	1850.0	12224.0	19610.0	12077.0	11174.0	10087.0	904.0	2489.0	995.0	6297.0
sub-11	1754.0	1933.0	5867.0	4386.0	2816.0	10738.0	10556.0	10992.0	3299.0	10819.0	8683.0	7334.0	5769.0	9155.0	2429.0	3207.0	4350.0	2653.0	4164.0	2010.0	9773.0	3180.0	13946.0	10981.0	2419.0	13794.0	26580.0	15719.0	10791.0	15724.0	946.0	2797.0	1226.0	7324.0
