rh.aparc.a2009s.area	rh_G_and_S_frontomargin_area	rh_G_and_S_occipital_inf_area	rh_G_and_S_paracentral_area	rh_G_and_S_subcentral_area	rh_G_and_S_transv_frontopol_area	rh_G_and_S_cingul-Ant_area	rh_G_and_S_cingul-Mid-Ant_area	rh_G_and_S_cingul-Mid-Post_area	rh_G_cingul-Post-dorsal_area	rh_G_cingul-Post-ventral_area	rh_G_cuneus_area	rh_G_front_inf-Opercular_area	rh_G_front_inf-Orbital_area	rh_G_front_inf-Triangul_area	rh_G_front_middle_area	rh_G_front_sup_area	rh_G_Ins_lg_and_S_cent_ins_area	rh_G_insular_short_area	rh_G_occipital_middle_area	rh_G_occipital_sup_area	rh_G_oc-temp_lat-fusifor_area	rh_G_oc-temp_med-Lingual_area	rh_G_oc-temp_med-Parahip_area	rh_G_orbital_area	rh_G_pariet_inf-Angular_area	rh_G_pariet_inf-Supramar_area	rh_G_parietal_sup_area	rh_G_postcentral_area	rh_G_precentral_area	rh_G_precuneus_area	rh_G_rectus_area	rh_G_subcallosal_area	rh_G_temp_sup-G_T_transv_area	rh_G_temp_sup-Lateral_area	rh_G_temp_sup-Plan_polar_area	rh_G_temp_sup-Plan_tempo_area	rh_G_temporal_inf_area	rh_G_temporal_middle_area	rh_Lat_Fis-ant-Horizont_area	rh_Lat_Fis-ant-Vertical_area	rh_Lat_Fis-post_area	rh_Pole_occipital_area	rh_Pole_temporal_area	rh_S_calcarine_area	rh_S_central_area	rh_S_cingul-Marginalis_area	rh_S_circular_insula_ant_area	rh_S_circular_insula_inf_area	rh_S_circular_insula_sup_area	rh_S_collat_transv_ant_area	rh_S_collat_transv_post_area	rh_S_front_inf_area	rh_S_front_middle_area	rh_S_front_sup_area	rh_S_interm_prim-Jensen_area	rh_S_intrapariet_and_P_trans_area	rh_S_oc_middle_and_Lunatus_area	rh_S_oc_sup_and_transversal_area	rh_S_occipital_ant_area	rh_S_oc-temp_lat_area	rh_S_oc-temp_med_and_Lingual_area	rh_S_orbital_lateral_area	rh_S_orbital_med-olfact_area	rh_S_orbital-H_Shaped_area	rh_S_parieto_occipital_area	rh_S_pericallosal_area	rh_S_postcentral_area	rh_S_precentral-inf-part_area	rh_S_precentral-sup-part_area	rh_S_suborbital_area	rh_S_subparietal_area	rh_S_temporal_inf_area	rh_S_temporal_sup_area	rh_S_temporal_transverse_area	rh_WhiteSurfArea_area
sub-02	602.0	1026.0	1005.0	985.0	817.0	2236.0	896.0	951.0	387.0	222.0	1814.0	909.0	329.0	459.0	2592.0	4383.0	382.0	564.0	2125.0	1252.0	1444.0	1968.0	653.0	1916.0	2212.0	1589.0	1915.0	1577.0	1932.0	2004.0	713.0	480.0	221.0	1300.0	499.0	406.0	1993.0	1920.0	154.0	169.0	787.0	2683.0	1440.0	1776.0	2181.0	908.0	442.0	732.0	938.0	604.0	322.0	1294.0	1468.0	2011.0	175.0	2223.0	810.0	1193.0	538.0	651.0	1607.0	332.0	637.0	1015.0	1781.0	966.0	1923.0	1252.0	1129.0	367.0	897.0	948.0	4069.0	185.0	89285.2
sub-03	562.0	794.0	858.0	966.0	842.0	2163.0	870.0	914.0	378.0	188.0	1463.0	991.0	322.0	851.0	2222.0	3970.0	315.0	378.0	1222.0	900.0	1257.0	1846.0	688.0	1816.0	2454.0	1703.0	1582.0	1359.0	1684.0	1661.0	601.0	489.0	270.0	1291.0	584.0	577.0	1453.0	1966.0	264.0	196.0	789.0	2027.0	1141.0	1665.0	1987.0	865.0	369.0	711.0	930.0	466.0	273.0	1518.0	1281.0	1674.0	429.0	2137.0	563.0	761.0	404.0	800.0	1093.0	366.0	515.0	924.0	1374.0	682.0	1534.0	1312.0	963.0	233.0	826.0	949.0	3711.0	225.0	80410.9
sub-04	610.0	896.0	745.0	896.0	935.0	2219.0	981.0	984.0	372.0	173.0	1581.0	1075.0	342.0	574.0	2965.0	4776.0	369.0	386.0	1972.0	1106.0	1194.0	1771.0	882.0	2110.0	2211.0	1866.0	1973.0	1371.0	1855.0	1902.0	601.0	304.0	267.0	1374.0	555.0	574.0	2029.0	2340.0	263.0	167.0	982.0	2163.0	1291.0	1357.0	1886.0	875.0	341.0	758.0	899.0	739.0	394.0	1406.0	1545.0	1933.0	306.0	2531.0	591.0	1166.0	721.0	595.0	1445.0	260.0	398.0	1046.0	1751.0	994.0	1989.0	981.0	875.0	324.0	962.0	948.0	4142.0	259.0	88416.2
sub-05	574.0	970.0	839.0	867.0	708.0	1837.0	826.0	1004.0	297.0	190.0	1346.0	779.0	271.0	496.0	2451.0	4036.0	399.0	374.0	1777.0	872.0	1300.0	1954.0	681.0	1829.0	1826.0	1691.0	1562.0	1421.0	1624.0	1937.0	530.0	303.0	238.0	1089.0	480.0	495.0	1535.0	1878.0	269.0	152.0	828.0	2179.0	947.0	1284.0	1977.0	839.0	437.0	733.0	884.0	726.0	240.0	974.0	1420.0	1922.0	256.0	2188.0	840.0	793.0	420.0	422.0	1163.0	362.0	542.0	830.0	1399.0	748.0	1677.0	1004.0	946.0	193.0	666.0	708.0	3976.0	186.0	78419.3
sub-06	753.0	841.0	877.0	810.0	781.0	2096.0	1030.0	1082.0	292.0	191.0	1495.0	853.0	246.0	475.0	2881.0	4637.0	360.0	359.0	1496.0	1058.0	1223.0	1779.0	855.0	1940.0	1615.0	1355.0	1894.0	1249.0	1562.0	1468.0	566.0	373.0	189.0	1002.0	441.0	416.0	1642.0	1728.0	231.0	165.0	752.0	2028.0	1056.0	1394.0	1809.0	851.0	317.0	681.0	850.0	835.0	373.0	1315.0	1858.0	1816.0	186.0	2269.0	562.0	862.0	511.0	500.0	1490.0	283.0	481.0	1033.0	1688.0	1004.0	1492.0	1116.0	723.0	78.0	752.0	902.0	3446.0	186.0	79804.2
sub-07	905.0	1100.0	987.0	1090.0	847.0	2350.0	1075.0	1303.0	494.0	167.0	1444.0	1051.0	315.0	648.0	3452.0	5646.0	445.0	444.0	1997.0	1008.0	1302.0	1852.0	922.0	2211.0	2097.0	2368.0	2011.0	1495.0	1776.0	1918.0	633.0	440.0	261.0	1407.0	531.0	635.0	2017.0	2506.0	303.0	206.0	1113.0	2197.0	1475.0	1272.0	2008.0	1129.0	445.0	819.0	1120.0	790.0	401.0	1815.0	1732.0	1879.0	423.0	2915.0	872.0	896.0	650.0	522.0	1541.0	276.0	586.0	1051.0	1423.0	1307.0	2119.0	1450.0	1037.0	261.0	1033.0	1051.0	4426.0	258.0	95946.1
sub-08	765.0	844.0	1055.0	1072.0	872.0	2388.0	1188.0	1161.0	364.0	178.0	1652.0	801.0	390.0	815.0	2799.0	5438.0	474.0	583.0	1415.0	1200.0	1282.0	2015.0	729.0	2079.0	2348.0	1797.0	1774.0	1302.0	1894.0	2273.0	675.0	457.0	260.0	1301.0	484.0	725.0	1765.0	2664.0	186.0	226.0	931.0	2326.0	1279.0	1599.0	1924.0	990.0	434.0	842.0	1088.0	673.0	373.0	1291.0	1593.0	2188.0	483.0	2562.0	420.0	920.0	653.0	519.0	1464.0	320.0	622.0	918.0	1883.0	1043.0	1360.0	1274.0	1217.0	316.0	1102.0	1309.0	4654.0	293.0	92551.5
sub-09	637.0	715.0	992.0	937.0	925.0	2116.0	1392.0	1185.0	395.0	205.0	1720.0	957.0	294.0	594.0	2550.0	4788.0	376.0	587.0	1212.0	1291.0	1411.0	2172.0	902.0	1849.0	1828.0	1917.0	2274.0	1403.0	1472.0	2097.0	607.0	338.0	252.0	1182.0	483.0	525.0	1805.0	2309.0	306.0	126.0	1010.0	2377.0	1413.0	1614.0	1902.0	896.0	348.0	790.0	914.0	948.0	281.0	1476.0	1447.0	2053.0	298.0	2352.0	518.0	999.0	346.0	750.0	1227.0	314.0	518.0	796.0	1413.0	1060.0	1997.0	1122.0	948.0	265.0	1044.0	1090.0	3788.0	268.0	87707.8
sub-10	550.0	847.0	801.0	988.0	914.0	1873.0	912.0	881.0	307.0	175.0	1512.0	1000.0	299.0	543.0	2086.0	3655.0	357.0	505.0	1134.0	1239.0	1176.0	1392.0	668.0	1781.0	1942.0	1344.0	1496.0	1124.0	1503.0	1475.0	568.0	352.0	298.0	1206.0	450.0	489.0	1296.0	1779.0	167.0	107.0	823.0	1977.0	1161.0	1145.0	1616.0	718.0	351.0	623.0	774.0	496.0	356.0	1106.0	1276.0	1385.0	297.0	2436.0	483.0	902.0	435.0	505.0	1348.0	338.0	604.0	701.0	1590.0	750.0	1670.0	1102.0	745.0	198.0	876.0	638.0	3504.0	171.0	74293.8
sub-11	850.0	973.0	906.0	1025.0	790.0	2237.0	957.0	948.0	279.0	189.0	1531.0	877.0	401.0	595.0	2898.0	5013.0	429.0	583.0	1850.0	1109.0	1181.0	1619.0	1047.0	1962.0	2050.0	1886.0	1920.0	1680.0	1464.0	2082.0	588.0	254.0	320.0	1046.0	490.0	460.0	2042.0	1990.0	359.0	44.0	852.0	2274.0	1413.0	1420.0	1998.0	806.0	398.0	938.0	912.0	1024.0	322.0	1341.0	1600.0	2214.0	241.0	3110.0	923.0	1001.0	583.0	631.0	1371.0	382.0	578.0	1159.0	1502.0	1019.0	1917.0	958.0	926.0	279.0	1079.0	1002.0	3537.0	185.0	88817.4
