lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area
sub-02	1135.0	716.0	2466.0	1908.0	385.0	3538.0	4538.0	3485.0	1060.0	6090.0	2729.0	3345.0	2336.0	3161.0	504.0	1377.0	1404.0	717.0	947.0	1565.0	4073.0	1315.0	5730.0	4273.0	808.0	5017.0	7401.0	5607.0	3909.0	4452.0	306.0	548.0	403.0	2207.0	89454.4
sub-03	1396.0	518.0	2379.0	1260.0	319.0	3096.0	4940.0	2805.0	860.0	4962.0	2693.0	2635.0	2148.0	3014.0	671.0	1329.0	1975.0	754.0	1310.0	1173.0	3917.0	1030.0	4577.0	3913.0	821.0	4567.0	7020.0	5168.0	3841.0	3874.0	274.0	436.0	426.0	2042.0	82144.0
sub-04	1024.0	584.0	2276.0	1604.0	500.0	3486.0	5175.0	3703.0	940.0	5645.0	2856.0	3118.0	2185.0	3220.0	798.0	1433.0	1597.0	766.0	1153.0	1131.0	4303.0	1078.0	4772.0	4011.0	999.0	6173.0	7668.0	6026.0	3733.0	3809.0	280.0	515.0	425.0	2152.0	89137.3
sub-05	719.0	542.0	1690.0	1448.0	466.0	2648.0	4639.0	3209.0	856.0	5069.0	2515.0	3211.0	1530.0	2658.0	553.0	1236.0	1198.0	800.0	1147.0	1073.0	4088.0	1127.0	4455.0	3838.0	786.0	5102.0	6869.0	5677.0	3462.0	3230.0	231.0	420.0	477.0	2090.0	79057.4
sub-06	912.0	729.0	2123.0	1420.0	401.0	3551.0	3815.0	2763.0	907.0	4462.0	2616.0	2598.0	2020.0	2608.0	716.0	1368.0	1335.0	711.0	1322.0	1117.0	3941.0	1050.0	4449.0	3684.0	1007.0	6046.0	7125.0	5376.0	3179.0	3912.0	246.0	532.0	429.0	1981.0	80454.0
sub-07	1282.0	1052.0	2429.0	1613.0	328.0	2740.0	5394.0	3566.0	1148.0	5351.0	2851.0	2911.0	2136.0	4166.0	808.0	1555.0	1617.0	858.0	1345.0	1375.0	4528.0	1523.0	5233.0	4248.0	1081.0	6592.0	8165.0	5586.0	4015.0	4774.0	317.0	468.0	523.0	2380.0	93958.2
sub-08	942.0	595.0	2597.0	1732.0	379.0	3157.0	5086.0	4145.0	887.0	5258.0	2889.0	3101.0	2065.0	3641.0	632.0	1666.0	1526.0	856.0	1447.0	1119.0	4011.0	1314.0	5109.0	3915.0	886.0	6335.0	8665.0	5532.0	4394.0	3960.0	325.0	462.0	492.0	2604.0	91722.4
sub-09	990.0	443.0	2822.0	1540.0	432.0	3275.0	4768.0	3768.0	1003.0	4743.0	2465.0	2771.0	1966.0	3583.0	621.0	1363.0	1498.0	538.0	1069.0	1460.0	4073.0	1034.0	5060.0	4365.0	711.0	5108.0	8524.0	6470.0	3701.0	3768.0	308.0	591.0	388.0	2006.0	87223.6
sub-10	770.0	416.0	2132.0	1428.0	369.0	3028.0	4236.0	2713.0	926.0	4562.0	2360.0	2313.0	1696.0	3028.0	560.0	1079.0	1195.0	494.0	1088.0	1080.0	3389.0	897.0	4307.0	3327.0	543.0	4438.0	6303.0	5353.0	3868.0	3836.0	233.0	433.0	389.0	1944.0	74729.0
sub-11	749.0	662.0	2073.0	2021.0	612.0	3479.0	3930.0	3515.0	1266.0	5098.0	2934.0	3329.0	1936.0	2624.0	644.0	1240.0	1440.0	832.0	1459.0	1441.0	4437.0	1198.0	4738.0	4184.0	793.0	5530.0	7988.0	6346.0	3630.0	5428.0	278.0	596.0	407.0	2339.0	89175.7
sub-12	984.0	475.0	1792.0	1321.0	264.0	3147.0	4256.0	3221.0	900.0	4336.0	2458.0	2449.0	1825.0	3119.0	641.0	1171.0	1547.0	633.0	1152.0	1174.0	3751.0	1122.0	4414.0	3346.0	499.0	4522.0	6251.0	4575.0	3549.0	3918.0	243.0	399.0	391.0	2038.0	75885.3
sub-13	753.0	686.0	1801.0	1696.0	352.0	3059.0	3888.0	3198.0	814.0	5315.0	2519.0	3160.0	1868.0	3000.0	544.0	1400.0	1289.0	719.0	1335.0	1709.0	3823.0	1239.0	4098.0	3394.0	906.0	6657.0	8352.0	5455.0	3370.0	4442.0	273.0	483.0	395.0	2138.0	84130.5
