rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness
sub-02	2.666	2.227	2.77	2.191	3.844	2.672	2.488	2.714	2.692	2.249	2.759	2.307	2.617	2.994	2.904	2.427	2.791	2.77	2.632	1.813	2.143	2.471	2.672	2.45	2.755	2.581	2.958	2.211	2.961	2.701	2.961	3.834	2.579	3.278	2.59397
sub-03	2.399	2.548	2.701	2.033	3.189	2.586	2.526	2.57	2.508	2.085	2.724	2.228	2.491	2.725	2.565	2.516	2.86	2.388	2.42	1.813	2.125	2.661	2.611	2.458	2.747	2.389	2.833	2.126	2.761	2.555	2.247	3.121	2.508	3.454	2.50848
sub-04	2.387	2.586	2.388	1.967	3.1	2.865	2.432	2.779	2.371	2.31	2.774	2.178	2.602	2.803	2.891	2.67	2.64	2.737	2.49	1.658	2.168	2.609	2.667	2.554	2.533	2.345	2.761	2.194	2.782	2.534	2.3	2.897	2.876	3.061	2.5273
sub-05	2.755	2.496	2.693	1.891	2.939	2.603	2.589	2.584	2.726	2.25	2.68	2.115	2.84	2.683	2.922	2.58	2.824	2.557	2.533	1.571	2.089	2.625	2.64	2.631	2.83	2.38	2.832	2.282	2.915	2.659	2.479	3.463	2.771	3.051	2.54435
sub-06	2.593	2.849	2.755	2.0	3.338	2.724	2.677	2.715	2.719	2.298	2.818	2.116	2.712	2.879	2.973	2.641	2.784	2.856	2.503	1.713	2.216	2.502	2.643	2.608	2.769	2.432	2.903	2.315	3.018	2.595	2.681	3.416	2.771	3.194	2.60806
sub-07	2.55	2.405	2.483	1.999	3.034	2.598	2.568	2.537	2.508	2.14	2.951	2.298	2.778	2.817	2.539	2.438	2.556	2.615	2.413	1.83	1.993	2.709	2.558	2.54	2.646	2.409	2.729	2.286	2.898	2.612	2.495	3.648	2.468	3.185	2.53022
sub-08	2.899	2.527	2.497	1.789	3.769	2.665	2.448	2.621	2.52	2.208	2.86	2.063	2.701	2.893	2.806	2.607	2.676	2.901	2.644	1.614	2.122	2.578	2.678	2.328	2.953	2.523	2.941	2.051	2.98	2.634	2.797	3.421	3.247	3.11	2.56446
sub-09	2.523	2.594	2.523	1.807	3.493	2.694	2.421	2.702	2.516	2.015	2.766	1.994	2.757	2.794	2.727	2.287	2.617	2.598	2.362	1.581	1.96	2.484	2.478	2.259	2.809	2.432	2.644	2.092	2.753	2.547	2.924	3.448	2.458	3.175	2.44388
sub-10	2.404	2.742	2.517	1.787	3.253	2.731	2.498	2.733	2.645	2.071	2.729	2.114	2.692	2.866	2.57	2.269	2.615	2.429	2.392	1.496	1.902	2.452	2.353	2.378	3.031	2.372	2.684	2.092	2.659	2.607	2.598	3.836	2.422	3.464	2.45592
sub-11	2.368	2.496	2.609	1.829	3.09	2.596	2.373	2.682	2.457	2.108	2.636	1.911	2.535	2.732	2.573	2.707	2.613	2.558	2.413	1.652	1.877	2.492	2.664	2.489	2.666	2.358	2.917	2.108	2.803	2.488	2.878	3.676	2.64	3.114	2.4715
