rh.aparc.area	rh_bankssts_area	rh_caudalanteriorcingulate_area	rh_caudalmiddlefrontal_area	rh_cuneus_area	rh_entorhinal_area	rh_fusiform_area	rh_inferiorparietal_area	rh_inferiortemporal_area	rh_isthmuscingulate_area	rh_lateraloccipital_area	rh_lateralorbitofrontal_area	rh_lingual_area	rh_medialorbitofrontal_area	rh_middletemporal_area	rh_parahippocampal_area	rh_paracentral_area	rh_parsopercularis_area	rh_parsorbitalis_area	rh_parstriangularis_area	rh_pericalcarine_area	rh_postcentral_area	rh_posteriorcingulate_area	rh_precentral_area	rh_precuneus_area	rh_rostralanteriorcingulate_area	rh_rostralmiddlefrontal_area	rh_superiorfrontal_area	rh_superiorparietal_area	rh_superiortemporal_area	rh_supramarginal_area	rh_frontalpole_area	rh_temporalpole_area	rh_transversetemporal_area	rh_insula_area	rh_WhiteSurfArea_area
sub-02	780.0	638.0	2149.0	1853.0	317.0	3187.0	6084.0	3439.0	1007.0	6089.0	2732.0	3312.0	2371.0	3465.0	570.0	1625.0	1345.0	844.0	1262.0	1615.0	4455.0	1169.0	5284.0	4380.0	543.0	5578.0	7178.0	5698.0	3492.0	3265.0	339.0	485.0	270.0	2464.0	89285.2
sub-03	972.0	412.0	2020.0	1494.0	315.0	2694.0	5122.0	2850.0	924.0	4171.0	2605.0	2998.0	2186.0	3170.0	535.0	1382.0	1516.0	842.0	1701.0	1501.0	3942.0	1129.0	4790.0	3646.0	446.0	5116.0	6695.0	4845.0	3566.0	3825.0	379.0	458.0	334.0	1827.0	80410.9
sub-04	893.0	742.0	2107.0	1606.0	472.0	3063.0	5849.0	3423.0	853.0	5008.0	2850.0	2883.0	2141.0	4055.0	603.0	1286.0	1424.0	917.0	1482.0	1350.0	3861.0	1320.0	4781.0	4380.0	704.0	5944.0	7372.0	6061.0	3872.0	3989.0	348.0	463.0	336.0	1979.0	88416.2
sub-05	768.0	571.0	2199.0	1444.0	347.0	2695.0	5391.0	2730.0	773.0	5092.0	2460.0	2964.0	1946.0	3011.0	527.0	1416.0	1062.0	888.0	1452.0	1261.0	3861.0	1135.0	4434.0	3717.0	449.0	5069.0	6309.0	4924.0	3235.0	3321.0	318.0	384.0	316.0	1947.0	78419.3
sub-06	748.0	854.0	2265.0	1627.0	399.0	3216.0	4749.0	2902.0	861.0	4535.0	2508.0	2872.0	2075.0	2951.0	658.0	1511.0	1270.0	833.0	1207.0	1347.0	3542.0	1340.0	4254.0	3562.0	576.0	6273.0	6755.0	5380.0	2912.0	2755.0	331.0	481.0	267.0	1987.0	79804.2
sub-07	974.0	864.0	2848.0	1551.0	454.0	3331.0	6200.0	3660.0	1069.0	5706.0	2809.0	2851.0	2470.0	4117.0	706.0	1764.0	1587.0	1026.0	1581.0	1148.0	4367.0	1627.0	5153.0	4153.0	850.0	6782.0	8306.0	5854.0	3760.0	4727.0	415.0	503.0	381.0	2351.0	95946.1
sub-08	880.0	801.0	2574.0	1788.0	399.0	2898.0	6115.0	3459.0	954.0	4864.0	2706.0	3182.0	2433.0	4361.0	639.0	1707.0	1210.0	891.0	1666.0	1445.0	3841.0	1343.0	5192.0	5080.0	672.0	5931.0	8392.0	5350.0	3999.0	3908.0	383.0	510.0	354.0	2624.0	92551.5
sub-09	954.0	1059.0	1948.0	1675.0	414.0	3229.0	4638.0	3610.0	874.0	4452.0	2530.0	3357.0	1953.0	3630.0	621.0	1575.0	1464.0	758.0	1508.0	1676.0	4056.0	1302.0	4346.0	4367.0	793.0	5854.0	7682.0	6266.0	3526.0	4040.0	359.0	540.0	382.0	2270.0	87707.8
sub-10	723.0	662.0	1973.0	1601.0	364.0	2606.0	4846.0	2462.0	779.0	4098.0	2430.0	2372.0	1798.0	3015.0	626.0	1251.0	1340.0	798.0	1249.0	1243.0	3424.0	1067.0	4155.0	3578.0	591.0	4585.0	5893.0	5441.0	3181.0	3226.0	296.0	428.0	313.0	1877.0	74293.8
sub-11	663.0	696.0	2212.0	1570.0	545.0	3186.0	5751.0	3750.0	872.0	5626.0	2955.0	2666.0	2110.0	3229.0	612.0	1381.0	1116.0	897.0	1621.0	1443.0	4335.0	1305.0	4256.0	4255.0	550.0	6193.0	7994.0	6291.0	3325.0	3889.0	382.0	539.0	337.0	2265.0	88817.4
