lh.aparc.a2009s.volume	lh_G_and_S_frontomargin_volume	lh_G_and_S_occipital_inf_volume	lh_G_and_S_paracentral_volume	lh_G_and_S_subcentral_volume	lh_G_and_S_transv_frontopol_volume	lh_G_and_S_cingul-Ant_volume	lh_G_and_S_cingul-Mid-Ant_volume	lh_G_and_S_cingul-Mid-Post_volume	lh_G_cingul-Post-dorsal_volume	lh_G_cingul-Post-ventral_volume	lh_G_cuneus_volume	lh_G_front_inf-Opercular_volume	lh_G_front_inf-Orbital_volume	lh_G_front_inf-Triangul_volume	lh_G_front_middle_volume	lh_G_front_sup_volume	lh_G_Ins_lg_and_S_cent_ins_volume	lh_G_insular_short_volume	lh_G_occipital_middle_volume	lh_G_occipital_sup_volume	lh_G_oc-temp_lat-fusifor_volume	lh_G_oc-temp_med-Lingual_volume	lh_G_oc-temp_med-Parahip_volume	lh_G_orbital_volume	lh_G_pariet_inf-Angular_volume	lh_G_pariet_inf-Supramar_volume	lh_G_parietal_sup_volume	lh_G_postcentral_volume	lh_G_precentral_volume	lh_G_precuneus_volume	lh_G_rectus_volume	lh_G_subcallosal_volume	lh_G_temp_sup-G_T_transv_volume	lh_G_temp_sup-Lateral_volume	lh_G_temp_sup-Plan_polar_volume	lh_G_temp_sup-Plan_tempo_volume	lh_G_temporal_inf_volume	lh_G_temporal_middle_volume	lh_Lat_Fis-ant-Horizont_volume	lh_Lat_Fis-ant-Vertical_volume	lh_Lat_Fis-post_volume	lh_Pole_occipital_volume	lh_Pole_temporal_volume	lh_S_calcarine_volume	lh_S_central_volume	lh_S_cingul-Marginalis_volume	lh_S_circular_insula_ant_volume	lh_S_circular_insula_inf_volume	lh_S_circular_insula_sup_volume	lh_S_collat_transv_ant_volume	lh_S_collat_transv_post_volume	lh_S_front_inf_volume	lh_S_front_middle_volume	lh_S_front_sup_volume	lh_S_interm_prim-Jensen_volume	lh_S_intrapariet_and_P_trans_volume	lh_S_oc_middle_and_Lunatus_volume	lh_S_oc_sup_and_transversal_volume	lh_S_occipital_ant_volume	lh_S_oc-temp_lat_volume	lh_S_oc-temp_med_and_Lingual_volume	lh_S_orbital_lateral_volume	lh_S_orbital_med-olfact_volume	lh_S_orbital-H_Shaped_volume	lh_S_parieto_occipital_volume	lh_S_pericallosal_volume	lh_S_postcentral_volume	lh_S_precentral-inf-part_volume	lh_S_precentral-sup-part_volume	lh_S_suborbital_volume	lh_S_subparietal_volume	lh_S_temporal_inf_volume	lh_S_temporal_sup_volume	lh_S_temporal_transverse_volume
sub-02	2606.0	3607.0	2995.0	3706.0	2147.0	4155.0	2404.0	2755.0	2130.0	800.0	3781.0	3092.0	1302.0	1568.0	10319.0	18889.0	1499.0	2162.0	5170.0	2883.0	5531.0	5884.0	3219.0	6150.0	5336.0	7922.0	6226.0	4053.0	7753.0	7020.0	2656.0	1639.0	1146.0	6090.0	2133.0	2053.0	6992.0	7945.0	401.0	383.0	1437.0	3247.0	6213.0	3562.0	3710.0	1581.0	797.0	2234.0	2594.0	1662.0	807.0	2375.0	2161.0	5108.0	424.0	4167.0	1559.0	1734.0	1031.0	1859.0	3521.0	244.0	1123.0	2744.0	3326.0	1215.0	4604.0	3080.0	2505.0	1302.0	1664.0	2522.0	9613.0	587.0
sub-03	1888.0	3724.0	2710.0	3025.0	1381.0	4256.0	1967.0	2280.0	1414.0	567.0	2482.0	4019.0	979.0	2594.0	9025.0	17023.0	1493.0	2261.0	4811.0	2046.0	4678.0	4508.0	2489.0	5572.0	7075.0	5534.0	5563.0	4368.0	6118.0	6900.0	2912.0	885.0	1208.0	5007.0	1722.0	2134.0	5075.0	6503.0	363.0	567.0	1597.0	2288.0	4251.0	2229.0	3645.0	1494.0	853.0	2254.0	2786.0	1126.0	714.0	2978.0	2529.0	3983.0	327.0	3925.0	958.0	1867.0	1036.0	951.0	3233.0	471.0	1011.0	2253.0	2311.0	1123.0	3602.0	2533.0	2207.0	1241.0	1623.0	2345.0	9470.0	500.0
sub-04	2338.0	3287.0	3257.0	3370.0	1335.0	5260.0	2277.0	2340.0	1949.0	578.0	2791.0	3320.0	657.0	2327.0	9880.0	16951.0	1578.0	2259.0	6230.0	2359.0	5238.0	4366.0	4488.0	7041.0	5965.0	6657.0	6978.0	4551.0	6197.0	6447.0	2741.0	1204.0	1385.0	4743.0	1940.0	2074.0	8403.0	5760.0	499.0	413.0	1601.0	2509.0	4929.0	2094.0	3800.0	1875.0	881.0	1926.0	2353.0	1716.0	659.0	3046.0	2086.0	4615.0	369.0	4031.0	1710.0	1935.0	1923.0	1577.0	3831.0	509.0	959.0	2642.0	3115.0	1296.0	4347.0	2767.0	1392.0	818.0	2036.0	2301.0	10331.0	676.0
sub-05	2046.0	2839.0	2847.0	3230.0	1217.0	4577.0	2011.0	2549.0	1705.0	517.0	2598.0	2954.0	1425.0	1969.0	8297.0	14924.0	1475.0	2328.0	4992.0	2316.0	3761.0	5618.0	3685.0	5701.0	6328.0	5623.0	6323.0	3894.0	5577.0	6649.0	2439.0	733.0	1225.0	5026.0	1793.0	1424.0	6966.0	5712.0	267.0	376.0	1336.0	2943.0	4541.0	2477.0	3479.0	1281.0	1040.0	2009.0	2340.0	1428.0	607.0	2242.0	2107.0	4364.0	361.0	3776.0	1557.0	1811.0	1237.0	1285.0	2762.0	503.0	816.0	1788.0	2882.0	1043.0	3767.0	1879.0	2000.0	737.0	1686.0	1859.0	7122.0	599.0
sub-06	2213.0	2393.0	3140.0	3136.0	1620.0	5009.0	3022.0	2976.0	1215.0	639.0	2488.0	2917.0	1114.0	2631.0	11102.0	17167.0	1467.0	2139.0	4406.0	2466.0	5885.0	3734.0	4334.0	6242.0	5670.0	6726.0	6191.0	4126.0	6161.0	6327.0	2569.0	778.0	1124.0	5446.0	1616.0	1998.0	4989.0	6313.0	469.0	487.0	1321.0	2700.0	5425.0	2171.0	3534.0	1522.0	851.0	1775.0	2346.0	1472.0	540.0	3453.0	2386.0	4648.0	613.0	4035.0	913.0	1860.0	720.0	1599.0	3520.0	511.0	884.0	2613.0	3403.0	1522.0	3347.0	2130.0	1928.0	1007.0	1596.0	2288.0	7360.0	405.0
sub-07	2188.0	3515.0	2778.0	4130.0	1648.0	5515.0	3361.0	3042.0	2001.0	788.0	3000.0	3676.0	1409.0	1998.0	12017.0	17542.0	1572.0	2467.0	3942.0	2521.0	4392.0	5243.0	3117.0	6511.0	8320.0	6448.0	6290.0	4480.0	6157.0	7194.0	3136.0	1312.0	1451.0	5846.0	2167.0	1757.0	6738.0	8772.0	408.0	478.0	1648.0	3389.0	4801.0	2905.0	3529.0	1966.0	1056.0	2386.0	2929.0	1651.0	573.0	2961.0	2145.0	5217.0	785.0	4784.0	1603.0	1322.0	1191.0	1375.0	3254.0	578.0	970.0	2452.0	3179.0	2089.0	4403.0	2824.0	1839.0	1165.0	2014.0	2722.0	11992.0	568.0
sub-08	2268.0	2959.0	3607.0	3581.0	2141.0	5817.0	2647.0	3000.0	1440.0	680.0	3015.0	3420.0	1123.0	2769.0	10331.0	22188.0	1720.0	2465.0	5430.0	2401.0	3859.0	5396.0	3865.0	7215.0	6818.0	6655.0	5654.0	3594.0	6684.0	5415.0	2947.0	1110.0	1023.0	6533.0	2164.0	2785.0	7593.0	9542.0	595.0	503.0	1727.0	2928.0	5085.0	2304.0	3363.0	1780.0	878.0	2205.0	3183.0	2221.0	687.0	3929.0	2763.0	4893.0	442.0	3675.0	1742.0	1802.0	1198.0	2030.0	2808.0	1013.0	1050.0	2860.0	3527.0	1138.0	3445.0	3371.0	1995.0	1536.0	1283.0	3230.0	10004.0	748.0
sub-09	2322.0	3248.0	2192.0	3341.0	1893.0	4836.0	2288.0	2099.0	1606.0	696.0	2550.0	3233.0	823.0	1879.0	10312.0	19390.0	1688.0	2343.0	3959.0	2762.0	4610.0	4142.0	2895.0	6434.0	6210.0	6189.0	6299.0	4194.0	6185.0	6981.0	2666.0	918.0	854.0	5386.0	2387.0	1279.0	7318.0	8427.0	289.0	423.0	1291.0	3188.0	6040.0	2917.0	3394.0	1303.0	652.0	1865.0	2192.0	1699.0	506.0	2649.0	1825.0	5440.0	326.0	4052.0	1216.0	1721.0	568.0	1565.0	2778.0	302.0	1037.0	2044.0	2676.0	908.0	3992.0	2715.0	2275.0	1674.0	1729.0	2602.0	8986.0	634.0
sub-10	1566.0	2529.0	2040.0	2627.0	1674.0	4244.0	1751.0	2084.0	1292.0	553.0	2461.0	2687.0	821.0	2248.0	8213.0	14572.0	1541.0	2379.0	3661.0	1829.0	3954.0	3453.0	2603.0	5088.0	5471.0	5055.0	5601.0	2866.0	5149.0	5485.0	2392.0	767.0	933.0	4580.0	1449.0	2867.0	4915.0	7062.0	358.0	333.0	1467.0	2598.0	4981.0	1820.0	2757.0	1062.0	730.0	1726.0	1949.0	1113.0	639.0	2519.0	1554.0	4355.0	509.0	3716.0	992.0	1769.0	512.0	1244.0	2833.0	365.0	953.0	2154.0	2284.0	885.0	3426.0	2385.0	1579.0	993.0	1785.0	1729.0	7958.0	512.0
sub-11	2271.0	2818.0	2736.0	3369.0	1780.0	4154.0	2633.0	2923.0	1764.0	908.0	3845.0	3338.0	1205.0	3144.0	9486.0	20650.0	1681.0	2472.0	3981.0	3275.0	3926.0	5533.0	5619.0	6571.0	6392.0	8477.0	7539.0	3938.0	6310.0	6345.0	2768.0	1068.0	1119.0	4709.0	1851.0	2822.0	6261.0	5782.0	367.0	304.0	1916.0	3031.0	6468.0	2946.0	4195.0	1633.0	1072.0	1725.0	2547.0	2039.0	558.0	2983.0	1582.0	4986.0	877.0	4052.0	1242.0	1671.0	943.0	1267.0	3123.0	546.0	928.0	2819.0	4132.0	1175.0	4523.0	2419.0	1466.0	998.0	1916.0	2466.0	7326.0	411.0
sub-12	1746.0	2468.0	2464.0	2766.0	1321.0	3497.0	1998.0	2309.0	1355.0	426.0	2369.0	3428.0	1274.0	1985.0	7266.0	15432.0	1433.0	2154.0	3754.0	1867.0	5434.0	3592.0	2662.0	6096.0	5962.0	7030.0	5421.0	3505.0	5379.0	4694.0	2195.0	874.0	1015.0	4600.0	2185.0	1739.0	6987.0	7301.0	395.0	348.0	1462.0	2117.0	5299.0	2197.0	3175.0	1098.0	816.0	1618.0	2382.0	1217.0	536.0	2607.0	1924.0	3879.0	290.0	3105.0	1198.0	1416.0	1100.0	1678.0	2838.0	486.0	947.0	2267.0	2480.0	835.0	3334.0	2194.0	1570.0	1336.0	1430.0	2373.0	8786.0	439.0
sub-13	1877.0	3159.0	2710.0	3462.0	1408.0	4813.0	2779.0	3057.0	1349.0	657.0	2841.0	3344.0	1111.0	2869.0	11461.0	19740.0	1756.0	2468.0	5056.0	2625.0	4256.0	5363.0	3576.0	5765.0	6249.0	7726.0	5874.0	3422.0	5226.0	5564.0	2315.0	812.0	918.0	5658.0	1633.0	1464.0	5851.0	6459.0	340.0	168.0	1262.0	3033.0	5157.0	3125.0	3116.0	1662.0	723.0	2133.0	2610.0	1410.0	596.0	3224.0	1908.0	4497.0	607.0	4133.0	1354.0	1348.0	740.0	1388.0	2772.0	506.0	904.0	2450.0	3268.0	1043.0	3516.0	2020.0	1596.0	1193.0	1453.0	2180.0	7493.0	570.0
