rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume
sub-02	1819.0	1683.0	6586.0	4337.0	1791.0	9740.0	16747.0	11097.0	3080.0	14732.0	7962.0	8432.0	6992.0	12673.0	2088.0	4139.0	4245.0	2690.0	3457.0	2539.0	10342.0	3310.0	15064.0	11408.0	1558.0	15593.0	23438.0	13790.0	11790.0	9272.0	1291.0	2642.0	764.0	8149.0
sub-03	2298.0	1021.0	6002.0	3137.0	1292.0	7759.0	14127.0	8693.0	2705.0	9412.0	7680.0	7172.0	5778.0	10530.0	1629.0	3730.0	4641.0	2637.0	4561.0	2505.0	9388.0	3441.0	13492.0	9858.0	1435.0	13700.0	21110.0	11171.0	11684.0	10662.0	1053.0	1878.0	909.0	6875.0
sub-04	2007.0	2251.0	5348.0	3245.0	2132.0	9688.0	15430.0	10606.0	2285.0	12357.0	8335.0	6696.0	6315.0	13216.0	1993.0	3785.0	4232.0	3103.0	4141.0	1957.0	9269.0	3883.0	13599.0	11662.0	2065.0	14862.0	22017.0	14323.0	12050.0	10700.0	1018.0	1900.0	1230.0	5844.0
sub-05	1955.0	1726.0	6415.0	2827.0	1414.0	7967.0	15217.0	8318.0	2307.0	12458.0	7060.0	6539.0	6038.0	9726.0	1779.0	3900.0	3397.0	2848.0	4065.0	1779.0	8986.0	3422.0	12411.0	10177.0	1409.0	13276.0	19917.0	12133.0	11097.0	9767.0	1057.0	2256.0	980.0	5963.0
sub-06	1836.0	2806.0	6991.0	3397.0	1887.0	10051.0	13841.0	9567.0	2564.0	11542.0	7812.0	6184.0	6102.0	10268.0	2332.0	4352.0	3863.0	3093.0	3447.0	2034.0	9023.0	3534.0	12667.0	9777.0	1967.0	17744.0	22592.0	13836.0	10954.0	8003.0	1238.0	2499.0	816.0	6572.0
sub-07	2348.0	2435.0	7323.0	3222.0	1675.0	9598.0	16775.0	10628.0	3018.0	12930.0	8433.0	6786.0	7441.0	13920.0	2125.0	4349.0	4405.0	3301.0	4106.0	1864.0	9416.0	4917.0	13752.0	11245.0	2690.0	17738.0	24226.0	14384.0	11979.0	13328.0	1285.0	2397.0	1106.0	7430.0
sub-08	2385.0	2402.0	7236.0	3479.0	2467.0	8687.0	16794.0	9899.0	2680.0	11848.0	8222.0	7301.0	7337.0	15774.0	2183.0	4699.0	3508.0	3487.0	4758.0	2299.0	8825.0	3731.0	15122.0	12335.0	2320.0	16568.0	27588.0	11744.0	13555.0	11088.0	1381.0	2296.0	1415.0	8212.0
sub-09	2300.0	3065.0	5476.0	3129.0	1902.0	10335.0	12141.0	11043.0	2452.0	9244.0	7310.0	6910.0	5977.0	12163.0	1871.0	3733.0	4207.0	2586.0	3983.0	2236.0	8617.0	3434.0	11533.0	10377.0	2701.0	15981.0	22821.0	13879.0	10742.0	11037.0	1455.0	2696.0	1014.0	7144.0
sub-10	1685.0	2063.0	5418.0	2950.0	2215.0	7554.0	13217.0	7779.0	2221.0	8884.0	6994.0	5562.0	5316.0	10357.0	1824.0	2967.0	3768.0	2416.0	3362.0	1553.0	7065.0	2674.0	10431.0	8974.0	2059.0	12094.0	17539.0	12349.0	9372.0	8935.0	1026.0	2297.0	807.0	6835.0
sub-11	1515.0	2117.0	6298.0	2988.0	2669.0	9699.0	15116.0	12057.0	2488.0	13226.0	8338.0	5500.0	6112.0	10756.0	1913.0	4093.0	3185.0	2972.0	4639.0	2162.0	8917.0	3617.0	12373.0	11073.0	1706.0	16232.0	26123.0	14600.0	11210.0	10968.0	1654.0	2714.0	1085.0	7208.0
sub-12	2283.0	1745.0	5896.0	2346.0	1795.0	8889.0	11781.0	10270.0	2188.0	10149.0	6689.0	4943.0	5100.0	10826.0	1954.0	2949.0	3297.0	2795.0	3933.0	1661.0	8309.0	2829.0	12372.0	8438.0	1406.0	12227.0	19143.0	10400.0	10332.0	10170.0	1071.0	2333.0	825.0	6844.0
