Measure:mean	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	5th-Ventricle	WM-hypointensities	Left-WM-hypointensities	Right-WM-hypointensities	non-WM-hypointensities	Left-non-WM-hypointensities	Right-non-WM-hypointensities	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior
sub-02	15.3888	43.6919	83.8759	53.3391	85.6162	73.0098	81.168	99.8937	31.2192	16.3109	82.7636	58.9638	59.5999	36.5234	69.5315	91.2874	62.0	48.6	15.3168	36.7655	84.9465	54.7589	83.8341	71.2879	80.1921	98.6513	58.7135	58.5812	69.8274	90.4497	60.4	45.8706	0.0	69.455	0.0	0.0	0.0	0.0	0.0	74.4503	99.9481	91.9207	95.9277	98.434	101.5413
sub-03	17.7354	47.2321	83.8943	53.0779	83.1861	68.6463	77.2362	96.9838	33.5861	18.8782	83.2537	58.792	58.9016	33.0679	63.406	90.3801	59.2692	45.6193	22.8933	31.3266	82.2517	50.871	81.8695	67.8936	75.6711	94.3427	56.1556	57.983	63.9016	89.4581	51.8462	49.9967	0.0	69.8153	0.0	0.0	0.0	0.0	0.0	68.0638	102.5103	87.6438	96.3947	101.1281	103.0083
sub-04	16.8061	31.1931	84.3415	55.672	80.8508	69.8118	79.974	96.408	33.786	15.6848	82.5275	60.8082	59.43	32.5463	65.9592	88.8941	62.25	46.9797	27.2378	39.9711	84.2275	54.9935	80.093	70.8685	80.3862	97.1676	59.9657	59.8483	67.4669	89.4567	64.375	55.3501	0.0	70.9203	0.0	0.0	0.0	0.0	0.0	67.86	100.006	90.0238	88.966	94.0885	103.4958
sub-05	19.8945	34.4695	82.204	54.1777	82.0667	71.0391	80.7523	98.8052	33.991	16.7183	81.8851	57.5495	57.5794	33.7463	66.1576	89.8312	59.0	50.3941	18.8968	30.9109	81.4622	53.131	81.7484	69.6451	78.9164	96.5369	55.7283	58.0496	65.3364	89.2992	60.0	50.6641	0.0	70.263	0.0	0.0	0.0	0.0	0.0	69.2778	100.2822	94.0	94.0524	99.2547	102.3178
sub-06	15.47	37.7396	83.6805	55.6312	82.1274	66.9819	77.4685	96.433	29.75	17.4064	81.9614	59.595	58.6289	36.8353	63.5761	89.9088	56.0	45.7542	17.3491	35.0035	82.8562	54.1819	82.2246	66.6822	77.08	96.6509	58.9043	58.1243	66.5359	88.266	60.5	46.4973	0.0	68.0253	0.0	0.0	0.0	0.0	0.0	67.2435	96.7827	87.5519	94.928	97.8454	101.4616
sub-07	16.0997	37.8955	85.817	54.1997	82.6282	64.2606	76.5908	96.4704	31.5517	19.5201	83.5145	59.1024	59.1573	33.3484	63.2836	91.3852	55.8333	45.1763	18.7853	45.2212	83.1507	50.2593	80.3794	62.2598	74.4755	93.5635	56.7653	59.723	63.0903	90.329	55.25	43.9349	0.0	68.9836	0.0	0.0	0.0	0.0	0.0	66.7263	100.7841	89.8712	94.5774	93.2443	102.7736
sub-08	20.5944	43.887	82.8403	54.3349	87.1907	70.1447	80.6511	98.1838	31.699	20.2796	83.5196	60.5906	59.3273	32.3885	67.4305	93.3428	60.5789	46.9775	18.6254	39.1141	82.4252	53.1089	84.69	67.5614	78.5249	95.9233	59.7061	59.6739	67.1745	91.6964	55.6667	46.8845	0.0	63.9792	0.0	0.0	43.2	0.0	0.0	68.1474	98.1447	88.5516	94.3419	95.6977	99.5685
sub-09	15.3638	42.3036	82.8074	54.3786	85.4356	72.0006	81.3084	97.8434	32.1639	18.9185	83.4784	57.9641	59.2683	33.1474	68.9628	91.1077	59.0	45.2064	14.131	32.686	83.3265	53.1323	84.2052	71.0547	80.3652	97.5093	57.5881	58.5054	68.3754	90.4085	61.3333	43.2774	0.0	69.1907	0.0	0.0	0.0	0.0	0.0	68.7402	100.1443	87.0995	95.2516	99.7343	99.2098
sub-10	19.1241	41.618	83.9851	55.6219	83.7096	70.4646	79.275	97.7471	27.8211	20.3371	83.9856	58.8239	59.5433	31.0847	66.0736	90.2168	57.7895	48.9613	19.083	35.8	83.9253	54.6095	83.7093	68.658	78.1135	97.5799	57.761	58.2205	66.8306	89.5688	43.766	47.4784	0.0	67.2765	0.0	0.0	0.0	0.0	0.0	65.315	100.7326	93.4229	95.5564	97.924	102.1314
sub-11	15.8993	41.1193	84.0504	53.1725	84.1539	69.2938	79.7414	98.7863	24.9894	18.084	85.1416	60.0949	61.5946	35.1611	64.2279	92.6825	54.7091	46.5654	13.7674	38.7014	83.3585	51.7594	81.4224	68.8709	79.0996	97.5876	59.8012	62.7612	64.9624	91.4578	53.24	45.6732	0.0	66.009	0.0	0.0	0.0	0.0	0.0	71.3662	99.5939	94.7775	97.0037	96.814	98.7426
