onset	duration	sub_id	trial_type	vigtext	cond_id	vig_id
7.936575500000117	7.931178499999987	sub-20	fairness	You see a girl asking for allowance even though her brother did her chores for her.	fairness10	54
18.754154900000003	7.931029500000022	sub-20	care_emotional	You see a teenage boy chuckling at an amputee he passes by while on the subway.	care_emotional01	15
28.13855750000016	7.930581699999948	sub-20	care_emotional	You see a girl telling a boy that his older brother is much more attractive than him.	care_emotional13	27
40.4051316	7.931486800000584	sub-20	sanctity	You see a girl and her sister making out with each other just for practice.	sanctity10	99
51.227780400000256	7.926201199999923	sub-20	care_emotional	You see a woman commenting out loud about how fat another woman looks in her jeans.	care_emotional03	17
60.61079010000026	7.927235299999666	sub-20	fairness	You see a woman getting hired only because her father is close friends with the boss.	fairness09	53
71.4240791000002	7.931430599999885	sub-20	sanctity	You see a woman having intimate relations with a recently deceased loved one.	sanctity07	96
82.2421667000001	7.9307073999998465	sub-20	authority	You see a girl repeatedly interrupting her teacher as he explains a new concept.	authority03	2
94.5092708000002	7.931067899999789	sub-20	liberty	You see a teenager at a cafeteria forcing a younger student to pay for her lunch.	liberty14	73
103.89776800000004	7.926598699999886	sub-20	loyalty	You see a teacher publicly saying she hopes another school wins the math contest.	loyalty07	81
116.14803760000018	7.927102499999819	sub-20	sanctity	You see a college student drinking until she vomits on herself and falls asleep.	sanctity15	104
128.40052120000018	7.9255031000000145	sub-20	fairness	You see a student getting an A on a group project when he didn't do his part.	fairness07	51
139.21261640000034	7.930768199999647	sub-20	fairness	You see a woman lying about the number of vacation days she has taken at work.	fairness13	57
148.59702100000027	7.930369199999859	sub-20	liberty	You see a public leader on TV trying to ban the wearing of hooded sweatshirts.	liberty10	69
157.98476610000012	7.926545700000133	sub-20	loyalty	You see an American telling foreigners that the US is an evil force in the world.	loyalty12	86
167.3684704000002	7.926877000000104	sub-20	care_physical	You see a girl throwing her hot coffee on a woman who is dating her ex-boyfriend.	care_physical10	39
178.18201879999992	7.930720700000165	sub-20	liberty	You see a man blocking his wife from leaving home or interacting with others.	liberty03	62
187.57041090000007	7.926273100000117	sub-20	loyalty	You see a former US General saying publicly he would never buy any American product.	loyalty03	77
199.82041589999997	7.927123500000107	sub-20	care_physical	You see a girl shooting geese repeatedly with a pellet gun out in the woods.	care_physical06	35
212.07262510000032	7.925778999999693	sub-20	loyalty	You see a head cheerleader booing her high school's team during a homecoming game.	loyalty08	82
222.88474740000012	7.931094200000189	sub-20	liberty	You see a manager coercing her employees into eating at her brother's diner.	liberty04	63
232.2684386000003	7.931376799999725	sub-20	social_norms	You see a woman eating dessert before her main entree arrives on the table.	social_norms04	108
244.52375370000004	7.924525300000141	sub-20	care_emotional	You see a man loudly telling his wife that the dinner she cooked tastes awful.	care_emotional10	24
253.9025341000006	7.932087899999487	sub-20	social_norms	You see a woman answering a phone call with the word goodbye instead of hello.	social_norms15	119
266.15883480000025	7.926640199999838	sub-20	fairness	You see a professor giving a bad grade to a student just because he dislikes him.	fairness14	58
278.4094233000003	7.927008999999998	sub-20	social_norms	You see someone using an old rotary phone and refusing to go buy a new one.	social_norms01	105
287.7928349000001	7.927526299999954	sub-20	authority	You see a woman refusing to stand when the judge walks into the courtroom.	authority02	1
297.1766347	7.927605700000186	sub-20	care_emotional	You see a girl saying that another girl is too ugly to be a varsity cheerleader.	care_emotional07	21
307.99036820000015	7.9312871000001905	sub-20	social_norms	You see someone driving around in a dirty car that has not been washed recently.	social_norms11	115
317.3789691000002	7.926685799999859	sub-20	care_physical	You see a woman spanking her child with a spatula for getting bad grades in school.	care_physical14	43
329.6284383000002	7.9280089999999745	sub-20	social_norms	You see a teenage girl wearing a long trench coat on a hot summer afternoon.	social_norms14	118
341.8804833000001	7.926762299999837	sub-20	authority	You see an employee trying to undermine all of her boss' ideas in front of others.	authority07	6
351.2580469000002	7.933288199999879	sub-20	sanctity	You see a man searching through the trash to find women's discarded underwear.	sanctity12	101
360.6479855	7.927342600000202	sub-20	liberty	You see a father requiring his son to become a commercial airline pilot like him.	liberty02	61
370.0323313000001	7.926943100000471	sub-20	authority	You see a boy spray-painting anarchy symbols on the side of the police station.	authority06	5
382.2823988	7.927677399999993	sub-20	sanctity	You see a family eating the carcass of their pet dog that had been run over.	sanctity02	91
393.0966956000002	7.930824799999982	sub-20	loyalty	You see the coach's wife sponsoring a bake sale for her husband's rival team.	loyalty13	87
403.9142932000002	7.932872100000395	sub-20	care_physical	You see a woman snatching away her dog's food for making a mess in the living room.	care_physical07	36
416.1815103000001	7.933184600000004	sub-20	authority	You see a teenage girl coming home late and ignoring her parents' strict curfew.	authority05	4
425.5658210000006	7.93051199999968	sub-20	care_physical	You see a zoo trainer jabbing a dolphin to get it to entertain the customers.	care_physical04	33
