name	volume	thickness	area	meancurv
Left-bankssts	2360.0	2.509	990.0	0.074
Left-caudalanteriorcingulate	1125.0	2.355	443.0	0.094
Left-caudalmiddlefrontal	7577.0	2.498	2822.0	0.119
Left-cuneus	2662.0	1.657	1540.0	0.13
Left-entorhinal	1856.0	3.252	432.0	0.092
Left-fusiform	9882.0	2.718	3275.0	0.134
Left-inferiorparietal	12321.0	2.454	4768.0	0.123
Left-inferiortemporal	11979.0	2.766	3768.0	0.122
Left-isthmuscingulate	2808.0	2.492	1003.0	0.133
Left-lateraloccipital	11342.0	2.145	4743.0	0.13
Left-lateralorbitofrontal	7784.0	2.84	2465.0	0.135
Left-lingual	5617.0	1.955	2771.0	0.14
Left-medialorbitofrontal	6475.0	2.816	1966.0	0.121
Left-middletemporal	11715.0	2.693	3583.0	0.123
Left-parahippocampal	1909.0	2.802	621.0	0.099
Left-paracentral	3336.0	2.28	1363.0	0.092
Left-parsopercularis	4424.0	2.6	1498.0	0.119
Left-parsorbitalis	2096.0	2.748	538.0	0.139
Left-parstriangularis	2638.0	2.33	1069.0	0.114
Left-pericalcarine	1841.0	1.496	1460.0	0.118
Left-postcentral	9237.0	2.048	4073.0	0.109
Left-posteriorcingulate	2674.0	2.419	1034.0	0.115
Left-precentral	13593.0	2.498	5060.0	0.108
Left-precuneus	10622.0	2.328	4365.0	0.129
Left-rostralanteriorcingulate	2303.0	2.85	711.0	0.109
Left-rostralmiddlefrontal	13535.0	2.301	5108.0	0.138
Left-superiorfrontal	25248.0	2.621	8524.0	0.118
Left-superiorparietal	14052.0	2.049	6470.0	0.123
Left-superiortemporal	11428.0	2.677	3701.0	0.101
Left-supramarginal	10216.0	2.552	3768.0	0.117
Left-frontalpole	1104.0	2.632	308.0	0.159
Left-temporalpole	2903.0	3.387	591.0	0.12
Left-transversetemporal	1072.0	2.563	388.0	0.127
Left-insula	6570.0	3.21	2006.0	0.108
