sub_id	moral_decision	RT	smid_id
sub-19	4.0	0.6032761999995273	b999_p492_7
sub-19	4.0	0.3510405999986687	b11_p160_11
sub-19	3.0	0.3610221000017191	b14_p263_18
sub-19	3.0	0.3768763999978546	b15_p454_5
sub-19	4.0	0.5820095999988553	b999_p484_7
sub-19	3.0	0.3572904000029666	b999_p483_16
sub-19	5.0	0.6524028999992879	b15_p379_18
sub-19	4.0	0.4153813000011723	b999_p489_4
sub-19	3.0	0.5063275000029535	b15_p409_5
sub-19	3.0	0.4062121999995725	b15_p345_18
sub-19	4.0	0.7131511999978102	b4_p75_18
sub-19	4.0	0.5448787000023003	b999_p478_2
sub-19	5.0	0.6666977000022598	b15_p473_18
sub-19	2.0	1.1030142000017804	b15_p319_16
sub-19	3.0	0.4954563000028429	b15_p293_5
sub-19	2.0	0.4652000999994925	b2_p44_12
sub-19	4.0	0.3755013999980292	b13_p216_10
sub-19	5.0	0.737023900001077	b10_p137_2
sub-19	3.0	0.3304843999976583	b14_p260_18
sub-19	4.0	0.4525464999969699	b15_p384_2
sub-19	4.0	1.1274048000013863	b999_p490_14
sub-19	4.0	0.973304500002996	b2_p28_9
sub-19	3.0	0.3240261999999347	b6_p89_18
sub-19	3.0	0.4285425999987637	b13_p227_1
sub-19	5.0	0.7759564000007231	b999_p483_8
sub-19	3.0	0.3249166999994486	b4_p58_16
sub-19	5.0	0.621248999999807	b15_p409_16
sub-19	3.0	0.3467607000020507	b15_p297_10
sub-19	3.0	0.3361239999976533	b2_p33_20
sub-19	4.0	0.3754289999997127	b2_p17_16
