name	volume	thickness	area	meancurv
Left-bankssts	3076.0	2.494	1282.0	0.087
Left-caudalanteriorcingulate	2926.0	2.544	1052.0	0.121
Left-caudalmiddlefrontal	6473.0	2.604	2429.0	0.107
Left-cuneus	3239.0	1.974	1613.0	0.148
Left-entorhinal	1523.0	3.424	328.0	0.12
Left-fusiform	8635.0	2.918	2740.0	0.111
Left-inferiorparietal	14490.0	2.529	5394.0	0.112
Left-inferiortemporal	10939.0	2.741	3566.0	0.12
Left-isthmuscingulate	3464.0	2.623	1148.0	0.126
Left-lateraloccipital	12448.0	2.175	5351.0	0.128
Left-lateralorbitofrontal	8276.0	2.745	2851.0	0.124
Left-lingual	6999.0	2.32	2911.0	0.14
Left-medialorbitofrontal	6767.0	2.844	2136.0	0.12
Left-middletemporal	13391.0	2.731	4166.0	0.128
Left-parahippocampal	2307.0	2.479	808.0	0.061
Left-paracentral	3932.0	2.418	1555.0	0.097
Left-parsopercularis	4891.0	2.735	1617.0	0.115
Left-parsorbitalis	2421.0	2.382	858.0	0.14
Left-parstriangularis	3365.0	2.356	1345.0	0.118
Left-pericalcarine	2126.0	1.73	1375.0	0.139
Left-postcentral	10545.0	2.119	4528.0	0.105
Left-posteriorcingulate	4153.0	2.551	1523.0	0.132
Left-precentral	14302.0	2.552	5233.0	0.099
Left-precuneus	11779.0	2.655	4248.0	0.113
Left-rostralanteriorcingulate	3685.0	3.101	1081.0	0.133
Left-rostralmiddlefrontal	16302.0	2.304	6592.0	0.121
Left-superiorfrontal	22871.0	2.606	8165.0	0.113
Left-superiorparietal	13568.0	2.292	5586.0	0.11
Left-superiortemporal	12510.0	2.815	4015.0	0.102
Left-supramarginal	13645.0	2.648	4774.0	0.12
Left-frontalpole	957.0	2.336	317.0	0.172
Left-temporalpole	2322.0	3.635	468.0	0.117
Left-transversetemporal	1619.0	2.757	523.0	0.115
Left-insula	7649.0	3.197	2380.0	0.095
