name	volume	thickness	area	meancurv
Left-G_and_S_frontomargin	2366.0	2.253	833.0	0.134
Left-G_and_S_occipital_inf	3010.0	2.345	1156.0	0.14
Left-G_and_S_paracentral	2721.0	2.185	1062.0	0.101
Left-G_and_S_subcentral	3186.0	2.955	982.0	0.136
Left-G_and_S_transv_frontopol	1728.0	2.468	518.0	0.16
Left-G_and_S_cingul-Ant	4596.0	2.95	1441.0	0.116
Left-G_and_S_cingul-Mid-Ant	2203.0	2.61	842.0	0.101
Left-G_and_S_cingul-Mid-Post	1951.0	2.67	725.0	0.092
Left-G_cingul-Post-dorsal	1560.0	3.327	327.0	0.131
Left-G_cingul-Post-ventral	531.0	2.917	151.0	0.123
Left-G_cuneus	2220.0	1.561	1335.0	0.126
Left-G_front_inf-Opercular	3648.0	2.819	1022.0	0.127
Left-G_front_inf-Orbital	1190.0	2.882	294.0	0.132
Left-G_front_inf-Triangul	2326.0	2.492	722.0	0.12
Left-G_front_middle	9188.0	2.684	2611.0	0.146
Left-G_front_sup	17960.0	2.759	5274.0	0.125
Left-G_Ins_lg_and_S_cent_ins	1686.0	4.087	353.0	0.091
Left-G_insular_short	2657.0	4.113	440.0	0.107
Left-G_occipital_middle	4443.0	2.341	1454.0	0.123
Left-G_occipital_sup	1694.0	1.851	825.0	0.121
Left-G_oc-temp_lat-fusifor	4396.0	3.005	1126.0	0.14
Left-G_oc-temp_med-Lingual	4455.0	1.949	2044.0	0.15
Left-G_oc-temp_med-Parahip	4111.0	3.03	942.0	0.116
Left-G_orbital	6482.0	2.91	1660.0	0.157
Left-G_pariet_inf-Angular	7028.0	2.678	2033.0	0.137
Left-G_pariet_inf-Supramar	7738.0	2.892	2188.0	0.147
Left-G_parietal_sup	5895.0	2.21	2132.0	0.12
Left-G_postcentral	3764.0	2.073	1513.0	0.107
Left-G_precentral	5027.0	2.852	1370.0	0.102
Left-G_precuneus	6415.0	2.436	2218.0	0.133
Left-G_rectus	2384.0	2.708	654.0	0.118
Left-G_subcallosal	709.0	2.246	331.0	0.118
Left-G_temp_sup-G_T_transv	1041.0	2.957	265.0	0.104
Left-G_temp_sup-Lateral	5825.0	3.049	1271.0	0.128
Left-G_temp_sup-Plan_polar	1504.0	3.261	385.0	0.055
Left-G_temp_sup-Plan_tempo	2418.0	2.892	756.0	0.079
Left-G_temporal_inf	6891.0	2.891	1782.0	0.133
Left-G_temporal_middle	6965.0	2.975	1695.0	0.142
Left-Lat_Fis-ant-Horizont	334.0	2.015	187.0	0.081
Left-Lat_Fis-ant-Vertical	432.0	2.352	215.0	0.075
Left-Lat_Fis-post	1666.0	2.651	799.0	0.103
Left-Pole_occipital	2429.0	1.65	1448.0	0.142
Left-Pole_temporal	4963.0	2.997	1149.0	0.154
Left-S_calcarine	2132.0	1.924	1218.0	0.112
Left-S_central	2808.0	1.83	1721.0	0.094
Left-S_cingul-Marginalis	1745.0	2.498	768.0	0.097
Left-S_circular_insula_ant	842.0	3.355	308.0	0.092
Left-S_circular_insula_inf	2282.0	3.149	898.0	0.071
Left-S_circular_insula_sup	2361.0	2.857	1022.0	0.088
Left-S_collat_transv_ant	1554.0	2.394	751.0	0.08
Left-S_collat_transv_post	584.0	1.935	365.0	0.122
Left-S_front_inf	3101.0	2.342	1402.0	0.106
Left-S_front_middle	1656.0	2.093	730.0	0.127
Left-S_front_sup	4234.0	2.499	1780.0	0.092
Left-S_interm_prim-Jensen	691.0	2.261	383.0	0.096
Left-S_intrapariet_and_P_trans	4461.0	2.035	2434.0	0.102
Left-S_oc_middle_and_Lunatus	1350.0	2.112	798.0	0.117
Left-S_oc_sup_and_transversal	1543.0	2.058	848.0	0.107
Left-S_occipital_ant	855.0	2.336	462.0	0.116
Left-S_oc-temp_lat	1056.0	2.658	470.0	0.124
Left-S_oc-temp_med_and_Lingual	2899.0	2.535	1323.0	0.097
Left-S_orbital_lateral	373.0	2.138	188.0	0.102
Left-S_orbital_med-olfact	871.0	2.134	450.0	0.117
Left-S_orbital-H_Shaped	2712.0	2.686	967.0	0.113
Left-S_parieto_occipital	2712.0	2.211	1372.0	0.105
Left-S_pericallosal	808.0	1.689	641.0	0.125
Left-S_postcentral	4410.0	2.036	2345.0	0.106
Left-S_precentral-inf-part	2475.0	2.652	1029.0	0.111
Left-S_precentral-sup-part	1340.0	2.468	635.0	0.075
Left-S_suborbital	1285.0	2.961	458.0	0.1
Left-S_subparietal	1477.0	2.479	692.0	0.092
Left-S_temporal_inf	2315.0	2.703	1023.0	0.114
Left-S_temporal_sup	9510.0	2.479	4090.0	0.094
Left-S_temporal_transverse	586.0	2.679	284.0	0.11
